p,r,mipo
53,2,0:45 1:1 47:1 48:1 
53,3,0:14 1:8 71:1 72:1 
59,1,0:2 23:4 24:1 
59,2,0:50 1:3 47:1 48:1 
59,3,0:10 1:11 71:1 72:1 
61,1,0:54 1:1 23:1 24:1 
61,2,0:59 1:10 47:1 48:1 
61,3,0:59 1:3 71:1 72:1 
67,1,0:57 1:1 23:1 24:1 
67,2,0:34 1:3 47:1 48:1 
67,3,0:50 1:3 71:1 72:1 
71,1,0:7 23:13 24:1 
71,2,0:59 1:4 47:1 48:1 
73,1,0:5 23:4 24:1 
73,2,0:58 1:10 47:1 48:1 
79,1,0:54 1:1 23:1 24:1 
79,2,0:70 1:3 47:1 48:1 
83,1,0:60 1:1 23:1 24:1 
83,2,0:2 47:33 48:1 
89,1,0:38 1:1 23:1 24:1 
89,2,0:43 1:12 47:1 48:1 
97,1,0:7 23:5 24:1 
97,2,0:7 1:1 47:1 48:1 
101,1,0:2 23:4 24:1 
101,2,0:2 47:26 48:1 
103,1,0:70 1:2 23:1 24:1 
103,2,0:5 1:1 47:1 48:1 
107,1,0:45 1:2 23:1 24:1 
107,2,0:104 1:4 47:1 48:1 
109,1,0:18 23:9 24:1 
109,2,0:10 1:2 47:1 48:1 
113,1,0:27 1:1 23:1 24:1 
113,2,0:17 1:7 47:1 48:1 
127,1,0:3 23:18 24:1 
127,2,0:3 47:15 48:1 
131,1,0:2 23:12 24:1 
131,2,0:2 47:19 48:1 
137,1,0:20 23:8 24:1 
137,2,0:90 1:3 47:1 48:1 
139,1,0:3 23:22 24:1 
139,2,0:85 1:14 47:1 48:1 
149,1,0:2 23:9 24:1 
149,2,0:15 1:1 47:1 48:1 
151,1,0:133 1:1 23:1 24:1 
151,2,0:12 47:20 48:1 
157,1,0:6 23:5 24:1 
157,2,0:5 47:3 48:1 
163,1,0:2 23:12 24:1 
163,2,0:3 1:1 47:1 48:1 
167,1,0:5 23:2 24:1 
167,2,0:55 1:1 47:1 48:1 
173,1,0:161 1:2 23:1 24:1 
173,2,0:2 47:14 48:1 
179,1,0:94 1:3 23:1 24:1 
179,2,0:162 1:1 47:1 48:1 
181,1,0:58 1:1 23:1 24:1 
181,2,0:63 1:1 47:1 48:1 
191,1,0:19 23:39 24:1 
191,2,0:19 47:91 48:1 
193,1,0:116 1:2 23:1 24:1 
193,2,0:17 47:1 48:1 
197,1,0:8 23:4 24:1 
197,2,0:91 1:1 47:1 48:1 
199,1,0:3 23:21 24:1 
199,2,0:134 1:1 47:1 48:1 
211,1,0:174 1:1 23:1 24:1 
211,2,0:48 1:8 47:1 48:1 
223,1,0:3 23:3 24:1 
223,2,0:3 47:3 48:1 
227,1,0:2 23:62 24:1 
227,2,0:38 1:1 47:1 48:1 
229,1,0:6 23:33 24:1 
229,2,0:90 1:1 47:1 48:1 
233,1,0:3 23:44 24:1 
233,2,0:5 47:32 48:1 
239,1,0:7 23:19 24:1 
239,2,0:13 1:1 47:1 48:1 
241,1,0:35 23:7 24:1 
241,2,0:34 47:1 48:1 
251,1,0:6 23:48 24:1 
251,2,0:6 47:74 48:1 
257,1,0:5 23:86 24:1 
257,2,0:5 47:25 48:1 
263,1,0:5 23:16 24:1 
263,2,0:5 47:34 48:1 
269,1,0:2 23:93 24:1 
269,2,0:2 47:18 48:1 
271,1,0:6 23:71 24:1 
271,2,0:15 47:9 48:1 
277,1,0:5 23:27 24:1 
277,2,0:24 47:11 48:1 
281,1,0:3 23:5 24:1 
281,2,0:15 47:39 48:1 
283,1,0:5 23:2 24:1 
283,2,0:194 1:1 47:1 48:1 
293,1,0:2 23:29 24:1 
293,2,0:2 47:45 48:1 
307,1,0:5 23:26 24:1 
307,2,0:5 47:15 48:1 
311,1,0:17 23:86 24:1 
311,2,0:17 47:49 48:1 
313,1,0:10 23:9 24:1 
313,2,0:41 47:7 48:1 
317,1,0:2 23:146 24:1 
317,2,0:2 47:15 48:1 
331,1,0:11 23:57 24:1 
331,2,0:3 47:9 48:1 
337,1,0:15 23:30 24:1 
337,2,0:67 47:3 48:1 
347,1,0:2 23:59 24:1 
347,2,0:258 1:1 47:1 48:1 
349,1,0:18 23:5 24:1 
349,2,0:33 47:10 48:1 
353,1,0:5 23:19 24:1 
353,2,0:14 47:19 48:1 
359,1,0:7 23:32 24:1 
359,2,0:7 47:101 48:1 
367,1,0:6 23:9 24:1 
367,2,0:6 47:36 48:1 
373,1,0:2 23:31 24:1 
373,2,0:43 1:1 47:1 48:1 
379,1,0:2 23:26 24:1 
379,2,0:3 47:27 48:1 
383,1,0:5 23:35 24:1 
383,2,0:5 47:1 48:1 
389,1,0:2 23:107 24:1 
389,2,0:3 47:56 48:1 
397,1,0:5 23:77 24:1 
397,2,0:18 47:42 48:1 
401,1,0:12 23:2 24:1 
401,2,0:59 47:50 48:1 
409,1,0:62 23:3 24:1 
409,2,0:26 47:4 48:1 
419,1,0:2 23:10 24:1 
419,2,0:2 47:174 48:1 
421,1,0:2 23:52 24:1 
421,2,0:2 47:11 48:1 
431,1,0:7 23:1 24:1 
431,2,0:7 47:82 48:1 
433,1,0:5 23:10 24:1 
433,2,0:7 47:4 48:1 
439,1,0:15 23:22 24:1 
439,2,0:15 47:10 48:1 
443,1,0:2 23:18 24:1 
443,2,0:2 47:81 48:1 
449,1,0:3 23:10 24:1 
449,2,0:3 47:3 48:1 
457,1,0:15 23:7 24:1 
457,2,0:123 47:14 48:1 
461,1,0:2 23:7 24:1 
461,2,0:2 47:112 48:1 
463,1,0:3 23:6 24:1 
463,2,0:3 47:3 48:1 
467,1,0:2 23:49 24:1 
467,2,0:2 47:7 48:1 
479,1,0:13 23:29 24:1 
479,2,0:116 1:1 47:1 48:1 
487,1,0:3 23:6 24:1 
487,2,0:257 1:3 47:1 48:1 
491,1,0:2 23:91 24:1 
491,2,0:2 47:111 48:1 
499,1,0:7 23:67 24:1 
499,2,0:7 47:7 48:1 
503,1,0:5 23:61 24:1 
503,2,0:5 47:134 48:1 
509,1,0:2 23:146 24:1 
509,2,0:111 1:1 47:1 48:1 
521,1,0:3 23:9 24:1 
521,2,0:7 47:6 48:1 
523,1,0:2 23:5 24:1 
523,2,0:2 47:65 48:1 
541,1,0:2 23:48 24:1 
541,2,0:2 47:34 48:1 
547,1,0:2 23:2 24:1 
547,2,0:5 47:49 48:1 
557,1,0:2 23:10 24:1 
557,2,0:2 47:10 48:1 
563,1,0:2 23:7 24:1 
563,2,0:2 47:84 48:1 
569,1,0:3 23:58 24:1 
569,2,0:6 47:58 48:1 
571,1,0:3 23:1 24:1 
571,2,0:3 47:87 48:1 
577,1,0:5 23:3 24:1 
587,1,0:2 23:91 24:1 
593,1,0:6 23:9 24:1 
599,1,0:7 23:16 24:1 
601,1,0:7 23:2 24:1 
607,1,0:3 23:114 24:1 
613,1,0:5 23:58 24:1 
617,1,0:3 23:96 24:1 
619,1,0:2 23:7 24:1 
631,1,0:3 23:65 24:1 
641,1,0:3 23:1 24:1 
643,1,0:11 23:56 24:1 
647,1,0:5 23:161 24:1 
653,1,0:2 23:37 24:1 
659,1,0:2 23:6 24:1 
661,1,0:6 23:11 24:1 
673,1,0:5 23:77 24:1 
677,1,0:2 23:61 24:1 
683,1,0:5 23:132 24:1 
691,1,0:3 23:162 24:1 
701,1,0:2 23:9 24:1 
709,1,0:2 23:92 24:1 
719,1,0:11 23:17 24:1 
727,1,0:5 23:7 24:1 
733,1,0:45 23:120 24:1 
739,1,0:3 23:15 24:1 
743,1,0:5 23:30 24:1 
751,1,0:3 23:19 24:1 
757,1,0:2 23:43 24:1 
761,1,0:6 23:65 24:1 
769,1,0:66 23:10 24:1 
773,1,0:2 23:19 24:1 
787,1,0:2 23:6 24:1 
797,1,0:2 23:17 24:1 
809,1,0:3 23:1 24:1 
811,1,0:3 23:61 24:1 
821,1,0:2 23:59 24:1 
823,1,0:3 23:40 24:1 
827,1,0:2 23:30 24:1 
829,1,0:2 23:124 24:1 
839,1,0:11 23:54 24:1 
853,1,0:2 23:86 24:1 
857,1,0:3 23:38 24:1 
859,1,0:2 23:13 24:1 
863,1,0:5 23:76 24:1 
877,1,0:2 23:8 24:1 
881,1,0:14 23:74 24:1 
883,1,0:2 23:18 24:1 
887,1,0:5 23:40 24:1 
907,1,0:2 23:39 24:1 
911,1,0:17 23:5 24:1 
919,1,0:7 23:59 24:1 
929,1,0:3 23:32 24:1 
937,1,0:5 23:51 24:1 
941,1,0:2 23:7 24:1 
947,1,0:2 23:161 24:1 
953,1,0:3 23:87 24:1 
967,1,0:5 23:10 24:1 
971,1,0:6 23:193 24:1 
977,1,0:3 23:92 24:1 
983,1,0:5 23:58 24:1 
991,1,0:6 23:2 24:1 
997,1,0:7 23:63 24:1 
1009,1,0:11 23:117 24:1 
1013,1,0:3 23:15 24:1 
1019,1,0:2 23:141 24:1 
1021,1,0:10 23:20 24:1 
1031,1,0:14 23:49 24:1 
1033,1,0:5 23:55 24:1 
1039,1,0:3 23:43 24:1 
1049,1,0:3 23:42 24:1 
1051,1,0:7 23:28 24:1 
1061,1,0:2 23:107 24:1 
1063,1,0:3 23:14 24:1 
1069,1,0:7 23:118 24:1 
1087,1,0:3 23:54 24:1 
1091,1,0:2 23:99 24:1 
1093,1,0:14 23:11 24:1 
1097,1,0:3 23:37 24:1 
1103,1,0:5 23:10 24:1 
1109,1,0:2 23:158 24:1 
1117,1,0:2 23:80 24:1 
1123,1,0:2 23:112 24:1 
1129,1,0:13 23:12 24:1 
1151,1,0:17 23:130 24:1 
1153,1,0:5 23:11 24:1 
1163,1,0:5 23:175 24:1 
1171,1,0:2 23:49 24:1 
1181,1,0:7 23:1 24:1 
1187,1,0:2 23:55 24:1 
1193,1,0:3 23:72 24:1 
1201,1,0:29 23:8 24:1 
1213,1,0:2 23:44 24:1 
1217,1,0:3 23:2 24:1 
1223,1,0:5 23:102 24:1 
1229,1,0:2 23:9 24:1 
1231,1,0:3 23:18 24:1 
1237,1,0:2 23:30 24:1 
1249,1,0:11 23:33 24:1 
1259,1,0:2 23:92 24:1 
1277,1,0:2 23:26 24:1 
1279,1,0:3 23:88 24:1 
1283,1,0:2 23:40 24:1 
1289,1,0:6 23:2 24:1 
1291,1,0:2 23:69 24:1 
1297,1,0:15 23:91 24:1 
1301,1,0:2 23:146 24:1 
1303,1,0:6 23:90 24:1 
1307,1,0:2 23:36 24:1 
1319,1,0:13 23:31 24:1 
1321,1,0:13 23:5 24:1 
1327,1,0:3 23:14 24:1 
1361,1,0:3 23:27 24:1 
1367,1,0:5 23:99 24:1 
1373,1,0:2 23:60 24:1 
1381,1,0:2 23:5 24:1 
1399,1,0:13 23:9 24:1 
1409,1,0:3 23:83 24:1 
1423,1,0:3 23:69 24:1 
1427,1,0:2 23:107 24:1 
1429,1,0:6 23:16 24:1 
1433,1,0:3 23:11 24:1 
1439,1,0:7 23:199 24:1 
1447,1,0:3 23:155 24:1 
1451,1,0:2 23:52 24:1 
1453,1,0:2 23:84 24:1 
1459,1,0:3 23:105 24:1 
1471,1,0:6 23:46 24:1 
1481,1,0:3 23:75 24:1 
1483,1,0:2 23:11 24:1 
1487,1,0:5 23:114 24:1 
1489,1,0:14 23:38 24:1 
1493,1,0:2 23:42 24:1 
1499,1,0:2 23:5 24:1 
1511,1,0:11 23:135 24:1 
1523,1,0:2 23:8 24:1 
1531,1,0:2 23:32 24:1 
1543,1,0:5 23:1 24:1 
1549,1,0:2 23:66 24:1 
1553,1,0:3 23:35 24:1 
1559,1,0:19 23:31 24:1 
1567,1,0:3 23:28 24:1 
1571,1,0:2 23:86 24:1 
1579,1,0:3 23:36 24:1 
1583,1,0:5 23:13 24:1 
1597,1,0:11 23:3 24:1 
1601,1,0:3 23:21 24:1 
1607,1,0:5 23:179 24:1 
1609,1,0:7 23:70 24:1 
1613,1,0:3 23:8 24:1 
1619,1,0:2 23:15 24:1 
1621,1,0:2 23:36 24:1 
1627,1,0:3 23:77 24:1 
1637,1,0:2 23:26 24:1 
1657,1,0:15 23:131 24:1 
1663,1,0:3 23:21 24:1 
1667,1,0:2 23:29 24:1 
1669,1,0:2 23:12 24:1 
1693,1,0:2 23:103 24:1 
1697,1,0:3 23:15 24:1 
1699,1,0:3 23:1 24:1 
1709,1,0:3 23:83 24:1 
1721,1,0:3 23:8 24:1 
1723,1,0:3 23:21 24:1 
1733,1,0:2 23:6 24:1 
1741,1,0:2 23:116 24:1 
1747,1,0:2 23:22 24:1 
1753,1,0:7 23:7 24:1 
1759,1,0:6 23:35 24:1 
1777,1,0:5 23:12 24:1 
1783,1,0:10 23:19 24:1 
1787,1,0:2 23:101 24:1 
1789,1,0:6 23:1 24:1 
1801,1,0:11 23:4 24:1 
1811,1,0:6 23:12 24:1 
1823,1,0:5 23:7 24:1 
1831,1,0:3 23:52 24:1 
1847,1,0:5 23:17 24:1 
1861,1,0:2 23:32 24:1 
1867,1,0:2 23:64 24:1 
1871,1,0:14 23:127 24:1 
1873,1,0:10 23:6 24:1 
1877,1,0:2 23:58 24:1 
1879,1,0:6 23:32 24:1 
1889,1,0:3 23:13 24:1 
1901,1,0:2 23:21 24:1 
1907,1,0:2 23:18 24:1 
1913,1,0:5 23:65 24:1 
1931,1,0:2 23:29 24:1 
1933,1,0:5 23:29 24:1 
1949,1,0:2 23:26 24:1 
1951,1,0:3 23:62 24:1 
1973,1,0:2 23:171 24:1 
1979,1,0:2 23:16 24:1 
1987,1,0:2 23:67 24:1 
1993,1,0:5 23:34 24:1 
1997,1,0:2 23:22 24:1 
1999,1,0:3 23:25 24:1 
2003,1,0:5 23:2 24:1 
2011,1,0:3 23:99 24:1 
2017,1,0:5 23:61 24:1 
2027,1,0:2 23:146 24:1 
2029,1,0:2 23:83 24:1 
2039,1,0:7 23:169 24:1 
2053,1,0:2 23:34 24:1 
2063,1,0:5 23:48 24:1 
2069,1,0:2 23:12 24:1 
2081,1,0:3 23:5 24:1 
2083,1,0:2 23:31 24:1 
2087,1,0:5 23:5 24:1 
2089,1,0:7 23:27 24:1 
2099,1,0:2 23:26 24:1 
2111,1,0:7 23:131 24:1 
2113,1,0:5 23:71 24:1 
2129,1,0:3 23:37 24:1 
2131,1,0:2 23:42 24:1 
2137,1,0:10 23:10 24:1 
2141,1,0:2 23:40 24:1 
2143,1,0:3 23:19 24:1 
2153,1,0:3 23:1 24:1 
2161,1,0:23 23:6 24:1 
2179,1,0:7 23:9 24:1 
2203,1,0:5 23:16 24:1 
2207,1,0:5 23:3 24:1 
2213,1,0:2 23:46 24:1 
2221,1,0:2 23:5 24:1 
2237,1,0:2 23:27 24:1 
2239,1,0:3 23:28 24:1 
2243,1,0:2 23:55 24:1 
2251,1,0:7 23:5 24:1 
2267,1,0:2 23:131 24:1 
2269,1,0:2 23:152 24:1 
2273,1,0:3 23:170 24:1 
2281,1,0:7 23:107 24:1 
2287,1,0:19 23:87 24:1 
2293,1,0:2 23:55 24:1 
2297,1,0:5 23:50 24:1 
2309,1,0:2 23:25 24:1 
2311,1,0:3 23:39 24:1 
2333,1,0:2 23:75 24:1 
2339,1,0:2 23:16 24:1 
2341,1,0:7 23:12 24:1 
2347,1,0:3 23:43 24:1 
2351,1,0:13 23:11 24:1 
2357,1,0:2 23:202 24:1 
2371,1,0:2 23:11 24:1 
2377,1,0:5 23:51 24:1 
2381,1,0:3 23:66 24:1 
2383,1,0:5 23:62 24:1 
2389,1,0:2 23:50 24:1 
2393,1,0:3 23:51 24:1 
2399,1,0:11 23:118 24:1 
2411,1,0:6 23:14 24:1 
2417,1,0:3 23:41 24:1 
2423,1,0:5 23:13 24:1 
2437,1,0:2 23:291 24:1 
2441,1,0:6 23:22 24:1 
2447,1,0:5 23:141 24:1 
2459,1,0:2 23:27 24:1 
2467,1,0:2 23:26 24:1 
2473,1,0:5 23:2 24:1 
2477,1,0:2 23:43 24:1 
2503,1,0:3 23:93 24:1 
2521,1,0:17 23:10 24:1 
2531,1,0:2 23:25 24:1 
2539,1,0:2 23:57 24:1 
2543,1,0:5 23:18 24:1 
2549,1,0:2 23:116 24:1 
2551,1,0:6 23:30 24:1 
2557,1,0:2 23:5 24:1 
2579,1,0:2 23:16 24:1 
2591,1,0:7 23:98 24:1 
2593,1,0:7 23:55 24:1 
2609,1,0:3 23:52 24:1 
2617,1,0:5 23:191 24:1 
2621,1,0:2 23:29 24:1 
2633,1,0:3 23:102 24:1 
2647,1,0:3 23:60 24:1 
2657,1,0:3 23:27 24:1 
2659,1,0:2 23:17 24:1 
2663,1,0:5 23:9 24:1 
2671,1,0:7 23:72 24:1 
2677,1,0:2 23:31 24:1 
2683,1,0:2 23:7 24:1 
2687,1,0:5 23:78 24:1 
2689,1,0:19 23:3 24:1 
2693,1,0:2 23:340 24:1 
2699,1,0:2 23:20 24:1 
2707,1,0:2 23:10 24:1 
2711,1,0:7 23:43 24:1 
2713,1,0:5 23:13 24:1 
2719,1,0:3 23:9 24:1 
2729,1,0:3 23:257 24:1 
2731,1,0:3 23:44 24:1 
2741,1,0:2 23:38 24:1 
2749,1,0:6 23:16 24:1 
2753,1,0:3 23:24 24:1 
2767,1,0:3 23:97 24:1 
2777,1,0:3 23:35 24:1 
2789,1,0:2 23:195 24:1 
2791,1,0:6 23:33 24:1 
2797,1,0:2 23:58 24:1 
2801,1,0:3 23:40 24:1 
2803,1,0:2 23:28 24:1 
2819,1,0:2 23:51 24:1 
2833,1,0:5 23:3 24:1 
2837,1,0:2 23:17 24:1 
2843,1,0:2 23:39 24:1 
2851,1,0:2 23:11 24:1 
2857,1,0:11 23:5 24:1 
2861,1,0:2 23:38 24:1 
2879,1,0:7 23:222 24:1 
2887,1,0:5 23:2 24:1 
2897,1,0:3 23:33 24:1 
2903,1,0:5 23:65 24:1 
2909,1,0:2 23:142 24:1 
2917,1,0:5 23:120 24:1 
2927,1,0:5 23:26 24:1 
2939,1,0:2 23:105 24:1 
2953,1,0:15 23:6 24:1 
2957,1,0:2 23:4 24:1 
2963,1,0:2 23:38 24:1 
2969,1,0:3 23:20 24:1 
2971,1,0:10 23:16 24:1 
2999,1,0:17 23:71 24:1 
3001,1,0:14 23:27 24:1 
3011,1,0:2 23:34 24:1 
3019,1,0:2 23:9 24:1 
3023,1,0:5 23:107 24:1 
3037,1,0:2 23:7 24:1 
3041,1,0:3 23:38 24:1 
3049,1,0:11 23:19 24:1 
3061,1,0:6 23:286 24:1 
3067,1,0:2 23:4 24:1 
3079,1,0:6 23:72 24:1 
3083,1,0:2 23:67 24:1 
3089,1,0:3 23:8 24:1 
3109,1,0:6 23:24 24:1 
3119,1,0:7 23:78 24:1 
3121,1,0:7 23:151 24:1 
3137,1,0:3 23:67 24:1 
3163,1,0:3 23:146 24:1 
3167,1,0:5 23:186 24:1 
3169,1,0:7 23:51 24:1 
3181,1,0:7 23:14 24:1 
3187,1,0:2 23:36 24:1 
3191,1,0:11 23:111 24:1 
3203,1,0:2 23:96 24:1 
3209,1,0:3 23:30 24:1 
3217,1,0:5 23:27 24:1 
3221,1,0:10 23:9 24:1 
3229,1,0:6 23:165 24:1 
3251,1,0:6 23:35 24:1 
3253,1,0:2 23:14 24:1 
3257,1,0:3 23:117 24:1 
3259,1,0:3 23:113 24:1 
3271,1,0:3 23:32 24:1 
3299,1,0:2 23:176 24:1 
3301,1,0:6 23:5 24:1 
3307,1,0:2 23:10 24:1 
3313,1,0:10 23:53 24:1 
3319,1,0:6 23:48 24:1 
3323,1,0:2 23:5 24:1 
3329,1,0:3 23:106 24:1 
3331,1,0:3 23:7 24:1 
3343,1,0:5 23:66 24:1 
3347,1,0:2 23:68 24:1 
3359,1,0:11 23:66 24:1 
3361,1,0:22 23:25 24:1 
3371,1,0:2 23:6 24:1 
3373,1,0:5 23:69 24:1 
3389,1,0:3 23:96 24:1 
3391,1,0:3 23:72 24:1 
3407,1,0:5 23:7 24:1 
3413,1,0:2 23:14 24:1 
3433,1,0:5 23:21 24:1 
3449,1,0:3 23:100 24:1 
3457,1,0:7 23:144 24:1 
3461,1,0:2 23:15 24:1 
3463,1,0:3 23:67 24:1 
3467,1,0:2 23:181 24:1 
3469,1,0:2 23:86 24:1 
3491,1,0:2 23:36 24:1 
3499,1,0:2 23:22 24:1 
3511,1,0:7 23:32 24:1 
3517,1,0:2 23:146 24:1 
3527,1,0:5 23:30 24:1 
3529,1,0:17 23:22 24:1 
3533,1,0:2 23:1 24:1 
3539,1,0:2 23:127 24:1 
3541,1,0:7 23:33 24:1 
3547,1,0:2 23:71 24:1 
3557,1,0:2 23:4 24:1 
3559,1,0:3 23:2 24:1 
3571,1,0:2 23:29 24:1 
3581,1,0:2 23:27 24:1 
3583,1,0:3 23:42 24:1 
3593,1,0:3 23:73 24:1 
3607,1,0:5 23:11 24:1 
3613,1,0:2 23:1 24:1 
3617,1,0:3 23:29 24:1 
3623,1,0:5 23:13 24:1 
3631,1,0:15 23:2 24:1 
3637,1,0:2 23:13 24:1 
3643,1,0:2 23:1 24:1 
3659,1,0:2 23:43 24:1 
3671,1,0:13 23:52 24:1 
3673,1,0:5 23:12 24:1 
3677,1,0:2 23:27 24:1 
3691,1,0:2 23:43 24:1 
3697,1,0:5 23:51 24:1 
3701,1,0:2 23:32 24:1 
3709,1,0:2 23:16 24:1 
3719,1,0:7 23:20 24:1 
3727,1,0:3 23:81 24:1 
3733,1,0:2 23:7 24:1 
3739,1,0:7 23:23 24:1 
3761,1,0:3 23:179 24:1 
3767,1,0:5 23:15 24:1 
3769,1,0:7 23:10 24:1 
3779,1,0:2 23:6 24:1 
3793,1,0:5 23:31 24:1 
3797,1,0:2 23:73 24:1 
3803,1,0:2 23:21 24:1 
3821,1,0:3 23:20 24:1 
3823,1,0:3 23:49 24:1 
3833,1,0:3 23:31 24:1 
3847,1,0:5 23:25 24:1 
3851,1,0:2 23:122 24:1 
3853,1,0:2 23:11 24:1 
3863,1,0:5 23:32 24:1 
3877,1,0:2 23:19 24:1 
3881,1,0:13 23:17 24:1 
3889,1,0:11 23:17 24:1 
3907,1,0:2 23:53 24:1 
3911,1,0:13 23:34 24:1 
3917,1,0:2 23:46 24:1 
3919,1,0:3 23:20 24:1 
3923,1,0:2 23:96 24:1 
3929,1,0:3 23:21 24:1 
3931,1,0:2 23:21 24:1 
3943,1,0:3 23:79 24:1 
3947,1,0:2 23:56 24:1 
3967,1,0:6 23:73 24:1 
3989,1,0:2 23:12 24:1 
4001,1,0:3 23:9 24:1 
4003,1,0:2 23:26 24:1 
4007,1,0:5 23:61 24:1 
4013,1,0:2 23:191 24:1 
4019,1,0:2 23:87 24:1 
4021,1,0:2 23:54 24:1 
4027,1,0:3 23:13 24:1 
4049,1,0:3 23:214 24:1 
4051,1,0:10 23:9 24:1 
4057,1,0:5 23:42 24:1 
4073,1,0:3 23:43 24:1 
4079,1,0:11 23:123 24:1 
4091,1,0:2 23:12 24:1 
4093,1,0:2 23:67 24:1 
4099,1,0:2 23:29 24:1 
4111,1,0:12 23:45 24:1 
4127,1,0:5 23:59 24:1 
4129,1,0:13 23:53 24:1 
4133,1,0:2 23:34 24:1 
4139,1,0:2 23:33 24:1 
4153,1,0:5 23:148 24:1 
4157,1,0:2 23:129 24:1 
4159,1,0:3 23:6 24:1 
4177,1,0:5 23:253 24:1 
4201,1,0:11 23:22 24:1 
4211,1,0:6 23:80 24:1 
4217,1,0:3 23:30 24:1 
4219,1,0:2 23:1 24:1 
4229,1,0:2 23:20 24:1 
4231,1,0:3 23:105 24:1 
4241,1,0:3 23:73 24:1 
4243,1,0:2 23:24 24:1 
4253,1,0:2 23:44 24:1 
4259,1,0:2 23:39 24:1 
4261,1,0:2 23:7 24:1 
4271,1,0:7 23:3 24:1 
4273,1,0:5 23:14 24:1 
4283,1,0:2 23:17 24:1 
4289,1,0:3 23:24 24:1 
4297,1,0:5 23:30 24:1 
4327,1,0:3 23:107 24:1 
4337,1,0:3 23:10 24:1 
4339,1,0:10 23:59 24:1 
4349,1,0:2 23:52 24:1 
4357,1,0:2 23:33 24:1 
4363,1,0:2 23:4 24:1 
4373,1,0:2 23:16 24:1 
4391,1,0:14 23:55 24:1 
4397,1,0:2 23:118 24:1 
4409,1,0:3 23:78 24:1 
