p,r,mipo
23,3,0:7 2:11 59:1 60:1 
29,1,0:10 1:9 19:1 20:1 
29,2,0:3 1:4 39:1 40:1 
29,3,0:8 2:28 59:1 60:1 
31,1,0:3 1:6 19:1 20:1 
31,2,0:3 1:29 39:1 40:1 
31,3,0:12 1:13 59:1 60:1 
37,1,0:15 19:1 20:1 
37,2,0:19 39:1 40:1 
37,3,0:2 1:5 59:1 60:1 
41,1,0:34 19:1 20:1 
41,2,0:6 1:37 39:1 40:1 
41,3,0:6 1:21 59:1 60:1 
43,1,0:28 19:1 20:1 
43,2,0:12 1:31 39:1 40:1 
43,3,0:3 1:11 59:1 60:1 
47,1,0:10 1:15 19:1 20:1 
47,2,0:10 1:42 39:1 40:1 
47,3,0:22 1:43 59:1 60:1 
53,1,0:48 19:1 20:1 
53,2,0:3 1:5 39:1 40:1 
53,3,0:12 59:1 60:1 
59,1,0:6 1:37 19:1 20:1 
59,2,0:18 39:1 40:1 
61,1,0:2 1:18 19:1 20:1 
61,2,0:7 1:47 39:1 40:1 
67,1,0:12 19:2 20:1 
67,2,0:13 39:1 40:1 
71,1,0:59 19:1 20:1 
71,2,0:7 1:39 39:1 40:1 
73,1,0:5 1:3 19:1 20:1 
73,2,0:5 1:8 39:1 40:1 
79,1,0:53 19:1 20:1 
79,2,0:3 1:71 39:1 40:1 
83,1,0:2 19:1 20:1 
83,2,0:2 1:47 39:1 40:1 
89,1,0:35 19:1 20:1 
89,2,0:6 1:4 39:1 40:1 
97,1,0:68 19:1 20:1 
97,2,0:5 1:28 39:1 40:1 
101,1,0:34 19:1 20:1 
101,2,0:2 1:15 39:1 40:1 
103,1,0:5 1:9 19:1 20:1 
103,2,0:21 39:1 40:1 
107,1,0:2 1:40 19:1 20:1 
107,2,0:70 39:1 40:1 
109,1,0:39 19:1 20:1 
109,2,0:58 39:1 40:1 
113,1,0:74 19:1 20:1 
113,2,0:3 1:43 39:1 40:1 
127,1,0:29 19:1 20:1 
127,2,0:106 39:1 40:1 
131,1,0:126 19:1 20:1 
131,2,0:2 1:47 39:1 40:1 
137,1,0:51 19:1 20:1 
137,2,0:3 1:15 39:1 40:1 
139,1,0:2 1:15 19:1 20:1 
139,2,0:2 1:19 39:1 40:1 
149,1,0:11 19:1 20:1 
149,2,0:117 39:1 40:1 
151,1,0:56 19:1 20:1 
151,2,0:6 1:78 39:1 40:1 
157,1,0:85 19:1 20:1 
157,2,0:5 1:18 39:1 40:1 
163,1,0:2 19:1 20:1 
163,2,0:11 39:1 40:1 
167,1,0:68 19:1 20:1 
167,2,0:5 1:35 39:1 40:1 
173,1,0:127 19:1 20:1 
173,2,0:99 39:1 40:1 
179,1,0:35 19:1 20:1 
179,2,0:143 39:1 40:1 
181,1,0:157 19:1 20:1 
181,2,0:153 39:1 40:1 
191,1,0:61 19:1 20:1 
191,2,0:19 1:3 39:1 40:1 
193,1,0:34 19:1 20:1 
193,2,0:174 39:1 40:1 
197,1,0:98 19:1 20:1 
197,2,0:17 39:1 40:1 
199,1,0:34 19:1 20:1 
199,2,0:190 39:1 40:1 
211,1,0:167 19:1 20:1 
211,2,0:2 1:9 39:1 40:1 
223,1,0:6 19:1 20:1 
223,2,0:6 39:1 40:1 
227,1,0:58 19:1 20:1 
227,2,0:115 39:1 40:1 
229,1,0:24 19:1 20:1 
229,2,0:188 39:1 40:1 
233,1,0:67 19:1 20:1 
233,2,0:114 39:1 40:1 
239,1,0:63 19:1 20:1 
239,2,0:7 1:73 39:1 40:1 
241,1,0:13 19:2 20:1 
241,2,0:31 39:1 40:1 
251,1,0:59 19:1 20:1 
251,2,0:6 1:24 39:1 40:1 
257,1,0:39 19:1 20:1 
257,2,0:19 39:1 40:1 
263,1,0:241 19:1 20:1 
263,2,0:112 39:1 40:1 
269,1,0:124 19:1 20:1 
269,2,0:250 39:1 40:1 
271,1,0:42 19:2 20:1 
271,2,0:38 39:1 40:1 
277,1,0:167 19:1 20:1 
277,2,0:65 39:1 40:1 
281,1,0:3 19:1 20:1 
281,2,0:115 39:2 40:1 
283,1,0:18 19:1 20:1 
283,2,0:277 39:3 40:1 
293,1,0:99 19:1 20:1 
293,2,0:32 39:1 40:1 
307,1,0:52 19:1 20:1 
307,2,0:50 39:1 40:1 
311,1,0:123 19:1 20:1 
311,2,0:17 39:1 40:1 
313,1,0:292 19:2 20:1 
313,2,0:63 39:2 40:1 
317,1,0:8 19:1 20:1 
317,2,0:29 39:1 40:1 
331,1,0:250 19:1 20:1 
331,2,0:208 39:1 40:1 
337,1,0:29 19:1 20:1 
337,2,0:10 1:44 39:1 40:1 
347,1,0:265 19:1 20:1 
347,2,0:112 39:1 40:1 
349,1,0:44 19:1 20:1 
349,2,0:99 39:1 40:1 
353,1,0:147 19:1 20:1 
353,2,0:75 39:1 40:1 
359,1,0:323 19:1 20:1 
359,2,0:114 39:1 40:1 
367,1,0:93 19:1 20:1 
367,2,0:152 39:1 40:1 
373,1,0:6 19:1 20:1 
373,2,0:35 39:1 40:1 
379,1,0:102 19:1 20:1 
379,2,0:60 39:1 40:1 
383,1,0:47 19:1 20:1 
383,2,0:151 39:1 40:1 
389,1,0:32 19:1 20:1 
389,2,0:105 39:1 40:1 
397,1,0:21 19:1 20:1 
397,2,0:180 39:1 40:1 
401,1,0:165 19:1 20:1 
409,1,0:347 19:1 20:1 
419,1,0:50 19:1 20:1 
421,1,0:338 19:1 20:1 
431,1,0:14 19:1 20:1 
433,1,0:284 19:1 20:1 
439,1,0:33 19:1 20:1 
443,1,0:241 19:1 20:1 
449,1,0:139 19:1 20:1 
457,1,0:13 19:1 20:1 
461,1,0:174 19:1 20:1 
463,1,0:24 19:1 20:1 
467,1,0:180 19:1 20:1 
479,1,0:191 19:1 20:1 
487,1,0:113 19:1 20:1 
491,1,0:29 19:1 20:1 
499,1,0:15 19:1 20:1 
503,1,0:272 19:1 20:1 
509,1,0:131 19:1 20:1 
521,1,0:163 19:1 20:1 
523,1,0:132 19:1 20:1 
541,1,0:24 19:1 20:1 
547,1,0:220 19:1 20:1 
557,1,0:11 19:1 20:1 
563,1,0:56 19:1 20:1 
569,1,0:96 19:1 20:1 
571,1,0:212 19:1 20:1 
577,1,0:5 19:1 20:1 
587,1,0:161 19:1 20:1 
593,1,0:44 19:1 20:1 
599,1,0:69 19:1 20:1 
601,1,0:142 19:1 20:1 
607,1,0:65 19:1 20:1 
613,1,0:95 19:1 20:1 
617,1,0:189 19:1 20:1 
619,1,0:69 19:1 20:1 
631,1,0:53 19:1 20:1 
641,1,0:127 19:1 20:1 
643,1,0:93 19:1 20:1 
647,1,0:73 19:1 20:1 
653,1,0:56 19:1 20:1 
659,1,0:213 19:1 20:1 
661,1,0:2 19:1 20:1 
673,1,0:31 19:1 20:1 
677,1,0:7 19:1 20:1 
683,1,0:118 19:1 20:1 
691,1,0:137 19:1 20:1 
701,1,0:308 19:1 20:1 
709,1,0:233 19:1 20:1 
719,1,0:251 19:1 20:1 
727,1,0:83 19:1 20:1 
733,1,0:106 19:1 20:1 
739,1,0:19 19:1 20:1 
743,1,0:177 19:1 20:1 
751,1,0:44 19:1 20:1 
757,1,0:14 19:1 20:1 
761,1,0:111 19:1 20:1 
769,1,0:59 19:1 20:1 
773,1,0:116 19:1 20:1 
787,1,0:2 19:1 20:1 
797,1,0:125 19:1 20:1 
809,1,0:48 19:1 20:1 
811,1,0:102 19:1 20:1 
821,1,0:240 19:1 20:1 
823,1,0:17 19:1 20:1 
827,1,0:220 19:1 20:1 
829,1,0:98 19:1 20:1 
839,1,0:149 19:1 20:1 
853,1,0:44 19:1 20:1 
857,1,0:59 19:1 20:1 
859,1,0:122 19:1 20:1 
863,1,0:301 19:1 20:1 
877,1,0:101 19:1 20:1 
881,1,0:249 19:1 20:1 
883,1,0:42 19:1 20:1 
887,1,0:68 19:1 20:1 
907,1,0:2 19:1 20:1 
911,1,0:91 19:1 20:1 
919,1,0:171 19:1 20:1 
929,1,0:62 19:1 20:1 
937,1,0:45 19:1 20:1 
941,1,0:10 19:1 20:1 
947,1,0:101 19:1 20:1 
953,1,0:11 19:1 20:1 
967,1,0:7 19:1 20:1 
971,1,0:176 19:1 20:1 
977,1,0:35 19:1 20:1 
983,1,0:45 19:1 20:1 
991,1,0:23 19:1 20:1 
997,1,0:68 19:1 20:1 
1009,1,0:17 19:1 20:1 
1013,1,0:57 19:1 20:1 
1019,1,0:61 19:1 20:1 
1021,1,0:53 19:1 20:1 
1031,1,0:37 19:1 20:1 
1033,1,0:13 19:1 20:1 
1039,1,0:202 19:1 20:1 
1049,1,0:28 19:1 20:1 
1051,1,0:135 19:1 20:1 
1061,1,0:85 19:1 20:1 
1063,1,0:84 19:1 20:1 
1069,1,0:41 19:1 20:1 
1087,1,0:251 19:1 20:1 
1091,1,0:111 19:1 20:1 
1093,1,0:41 19:1 20:1 
1097,1,0:138 19:1 20:1 
1103,1,0:13 19:1 20:1 
1109,1,0:232 19:1 20:1 
1117,1,0:153 19:1 20:1 
1123,1,0:107 19:1 20:1 
1129,1,0:134 19:1 20:1 
1151,1,0:291 19:1 20:1 
1153,1,0:118 19:1 20:1 
1163,1,0:19 19:1 20:1 
1171,1,0:287 19:1 20:1 
1181,1,0:183 19:1 20:1 
1187,1,0:20 19:1 20:1 
1193,1,0:63 19:1 20:1 
1201,1,0:208 19:1 20:1 
1213,1,0:60 19:1 20:1 
1217,1,0:190 19:1 20:1 
1223,1,0:105 19:1 20:1 
1229,1,0:116 19:1 20:1 
1231,1,0:34 19:1 20:1 
1237,1,0:142 19:1 20:1 
1249,1,0:7 19:1 20:1 
1259,1,0:2 19:1 20:1 
1277,1,0:28 19:1 20:1 
1279,1,0:55 19:1 20:1 
1283,1,0:50 19:1 20:1 
1289,1,0:54 19:1 20:1 
1291,1,0:15 19:1 20:1 
1297,1,0:22 19:1 20:1 
1301,1,0:524 19:1 20:1 
1303,1,0:106 19:1 20:1 
1307,1,0:227 19:1 20:1 
1319,1,0:34 19:1 20:1 
1321,1,0:118 19:1 20:1 
1327,1,0:320 19:1 20:1 
1361,1,0:112 19:1 20:1 
1367,1,0:10 19:1 20:1 
1373,1,0:123 19:1 20:1 
1381,1,0:123 19:1 20:1 
1399,1,0:105 19:1 20:1 
1409,1,0:133 19:1 20:1 
1423,1,0:13 19:1 20:1 
1427,1,0:61 19:1 20:1 
1429,1,0:53 19:1 20:1 
1433,1,0:48 19:1 20:1 
1439,1,0:73 19:1 20:1 
1447,1,0:21 19:1 20:1 
1451,1,0:23 19:1 20:1 
1453,1,0:213 19:1 20:1 
1459,1,0:60 19:1 20:1 
1471,1,0:14 19:1 20:1 
1481,1,0:158 19:1 20:1 
1483,1,0:155 19:1 20:1 
1487,1,0:232 19:1 20:1 
1489,1,0:213 19:1 20:1 
1493,1,0:543 19:1 20:1 
1499,1,0:11 19:1 20:1 
1511,1,0:348 19:1 20:1 
1523,1,0:5 19:1 20:1 
1531,1,0:83 19:1 20:1 
1543,1,0:186 19:1 20:1 
1549,1,0:128 19:1 20:1 
1553,1,0:27 19:1 20:1 
1559,1,0:93 19:1 20:1 
1567,1,0:117 19:1 20:1 
1571,1,0:10 19:1 20:1 
1579,1,0:111 19:1 20:1 
1583,1,0:107 19:1 20:1 
1597,1,0:156 19:1 20:1 
1601,1,0:135 19:1 20:1 
1607,1,0:29 19:1 20:1 
1609,1,0:105 19:1 20:1 
1613,1,0:45 19:1 20:1 
1619,1,0:208 19:1 20:1 
1621,1,0:145 19:1 20:1 
1627,1,0:67 19:1 20:1 
1637,1,0:202 19:1 20:1 
1657,1,0:41 19:1 20:1 
1663,1,0:604 19:1 20:1 
1667,1,0:137 19:1 20:1 
1669,1,0:2 19:1 20:1 
1693,1,0:26 19:1 20:1 
1697,1,0:161 19:1 20:1 
1699,1,0:3 19:1 20:1 
1709,1,0:34 19:1 20:1 
1721,1,0:23 19:1 20:1 
1723,1,0:78 19:1 20:1 
1733,1,0:12 19:1 20:1 
1741,1,0:19 19:1 20:1 
1747,1,0:59 19:1 20:1 
1753,1,0:90 19:1 20:1 
1759,1,0:6 19:1 20:1 
1777,1,0:40 19:1 20:1 
1783,1,0:48 19:1 20:1 
1787,1,0:63 19:1 20:1 
1789,1,0:170 19:1 20:1 
1801,1,0:52 19:1 20:1 
1811,1,0:30 19:1 20:1 
1823,1,0:69 19:1 20:1 
1831,1,0:176 19:1 20:1 
1847,1,0:17 19:1 20:1 
1861,1,0:383 19:1 20:1 
1867,1,0:32 19:1 20:1 
1871,1,0:58 19:1 20:1 
1873,1,0:15 19:1 20:1 
1877,1,0:504 19:1 20:1 
1879,1,0:46 19:1 20:1 
1889,1,0:48 19:1 20:1 
1901,1,0:59 19:1 20:1 
1907,1,0:105 19:1 20:1 
1913,1,0:70 19:1 20:1 
1931,1,0:159 19:1 20:1 
1933,1,0:5 19:1 20:1 
1949,1,0:23 19:1 20:1 
1951,1,0:15 19:1 20:1 
1973,1,0:70 19:1 20:1 
1979,1,0:104 19:1 20:1 
1987,1,0:20 19:1 20:1 
1993,1,0:94 19:1 20:1 
1997,1,0:18 19:1 20:1 
1999,1,0:35 19:1 20:1 
2003,1,0:51 19:1 20:1 
2011,1,0:123 19:1 20:1 
2017,1,0:155 19:1 20:1 
2027,1,0:65 19:1 20:1 
2029,1,0:366 19:1 20:1 
2039,1,0:63 19:1 20:1 
2053,1,0:143 19:1 20:1 
2063,1,0:260 19:1 20:1 
2069,1,0:157 19:1 20:1 
2081,1,0:305 19:1 20:1 
2083,1,0:104 19:1 20:1 
2087,1,0:15 19:1 20:1 
2089,1,0:14 19:1 20:1 
2099,1,0:14 19:1 20:1 
2111,1,0:154 19:1 20:1 
2113,1,0:39 19:1 20:1 
2129,1,0:24 19:1 20:1 
2131,1,0:108 19:1 20:1 
2137,1,0:211 19:1 20:1 
2141,1,0:134 19:1 20:1 
2143,1,0:62 19:1 20:1 
2153,1,0:153 19:1 20:1 
2161,1,0:28 19:1 20:1 
2179,1,0:40 19:1 20:1 
2203,1,0:127 19:1 20:1 
2207,1,0:34 19:1 20:1 
2213,1,0:11 19:1 20:1 
2221,1,0:68 19:1 20:1 
2237,1,0:102 19:1 20:1 
2239,1,0:84 19:1 20:1 
2243,1,0:91 19:1 20:1 
2251,1,0:7 19:1 20:1 
2267,1,0:149 19:1 20:1 
2269,1,0:131 19:1 20:1 
2273,1,0:13 19:1 20:1 
2281,1,0:129 19:1 20:1 
2287,1,0:139 19:1 20:1 
2293,1,0:103 19:1 20:1 
2297,1,0:202 19:1 20:1 
2309,1,0:17 19:1 20:1 
2311,1,0:75 19:1 20:1 
2333,1,0:2 19:1 20:1 
2339,1,0:21 19:1 20:1 
2341,1,0:105 19:1 20:1 
2347,1,0:192 19:1 20:1 
2351,1,0:13 19:1 20:1 
2357,1,0:88 19:1 20:1 
2371,1,0:2 19:1 20:1 
2377,1,0:248 19:1 20:1 
2381,1,0:37 19:1 20:1 
2383,1,0:74 19:1 20:1 
2389,1,0:162 19:1 20:1 
2393,1,0:90 19:1 20:1 
2399,1,0:117 19:1 20:1 
2411,1,0:37 19:1 20:1 
2417,1,0:89 19:1 20:1 
2423,1,0:368 19:1 20:1 
2437,1,0:24 19:1 20:1 
2441,1,0:89 19:1 20:1 
2447,1,0:41 19:1 20:1 
2459,1,0:17 19:1 20:1 
2467,1,0:299 19:1 20:1 
2473,1,0:5 19:1 20:1 
2477,1,0:80 19:1 20:1 
2503,1,0:322 19:1 20:1 
2521,1,0:339 19:1 20:1 
2531,1,0:214 19:1 20:1 
2539,1,0:3 19:1 20:1 
2543,1,0:139 19:1 20:1 
2549,1,0:133 19:1 20:1 
2551,1,0:24 19:1 20:1 
2557,1,0:47 19:1 20:1 
2579,1,0:91 19:1 20:1 
2591,1,0:103 19:1 20:1 
2593,1,0:83 19:1 20:1 
2609,1,0:106 19:1 20:1 
2617,1,0:71 19:1 20:1 
2621,1,0:112 19:1 20:1 
2633,1,0:280 19:1 20:1 
2647,1,0:37 19:1 20:1 
2657,1,0:44 19:1 20:1 
2659,1,0:78 19:1 20:1 
2663,1,0:153 19:1 20:1 
2671,1,0:109 19:1 20:1 
2677,1,0:20 19:1 20:1 
2683,1,0:194 19:1 20:1 
2687,1,0:111 19:1 20:1 
2689,1,0:19 19:1 20:1 
2693,1,0:7 19:1 20:1 
2699,1,0:261 19:1 20:1 
2707,1,0:21 19:1 20:1 
2711,1,0:158 19:1 20:1 
2713,1,0:45 19:1 20:1 
2719,1,0:132 19:1 20:1 
2729,1,0:214 19:1 20:1 
2731,1,0:127 19:1 20:1 
2741,1,0:31 19:1 20:1 
2749,1,0:309 19:1 20:1 
2753,1,0:45 19:1 20:1 
2767,1,0:69 19:1 20:1 
2777,1,0:432 19:1 20:1 
2789,1,0:10 19:1 20:1 
2791,1,0:48 19:1 20:1 
2797,1,0:6 19:1 20:1 
2801,1,0:189 19:1 20:1 
2803,1,0:20 19:1 20:1 
2819,1,0:10 19:1 20:1 
2833,1,0:66 19:1 20:1 
2837,1,0:30 19:1 20:1 
2843,1,0:187 19:1 20:1 
2851,1,0:50 19:1 20:1 
2857,1,0:166 19:1 20:1 
2861,1,0:181 19:1 20:1 
2879,1,0:21 19:1 20:1 
2887,1,0:176 19:1 20:1 
2897,1,0:201 19:1 20:1 
2903,1,0:320 19:1 20:1 
2909,1,0:107 19:1 20:1 
2917,1,0:80 19:1 20:1 
2927,1,0:30 19:1 20:1 
2939,1,0:34 19:1 20:1 
2953,1,0:325 19:1 20:1 
2957,1,0:78 19:1 20:1 
2963,1,0:154 19:1 20:1 
2969,1,0:270 19:1 20:1 
2971,1,0:246 19:1 20:1 
2999,1,0:17 19:1 20:1 
3001,1,0:94 19:1 20:1 
3011,1,0:120 19:1 20:1 
3019,1,0:148 19:1 20:1 
3023,1,0:39 19:1 20:1 
3037,1,0:45 19:1 20:1 
3041,1,0:39 19:1 20:1 
3049,1,0:94 19:1 20:1 
3061,1,0:263 19:1 20:1 
3067,1,0:45 19:1 20:1 
3079,1,0:148 19:1 20:1 
3083,1,0:185 19:1 20:1 
3089,1,0:66 19:1 20:1 
3109,1,0:11 19:1 20:1 
3119,1,0:82 19:1 20:1 
3121,1,0:174 19:1 20:1 
3137,1,0:133 19:1 20:1 
3163,1,0:48 19:1 20:1 
3167,1,0:119 19:1 20:1 
3169,1,0:145 19:1 20:1 
3181,1,0:78 19:1 20:1 
3187,1,0:59 19:1 20:1 
3191,1,0:55 19:1 20:1 
3203,1,0:17 19:1 20:1 
3209,1,0:107 19:1 20:1 
3217,1,0:202 19:1 20:1 
3221,1,0:22 19:1 20:1 
3229,1,0:70 19:1 20:1 
3251,1,0:42 19:1 20:1 
3253,1,0:5 19:1 20:1 
3257,1,0:71 19:1 20:1 
3259,1,0:72 19:1 20:1 
3271,1,0:267 19:1 20:1 
3299,1,0:91 19:1 20:1 
3301,1,0:162 19:1 20:1 
3307,1,0:83 19:1 20:1 
3313,1,0:111 19:1 20:1 
3319,1,0:157 19:1 20:1 
3323,1,0:45 19:1 20:1 
3329,1,0:15 19:1 20:1 
3331,1,0:230 19:1 20:1 
3343,1,0:45 19:1 20:1 
3347,1,0:53 19:1 20:1 
3359,1,0:11 19:1 20:1 
3361,1,0:201 19:1 20:1 
3371,1,0:6 19:1 20:1 
3373,1,0:210 19:1 20:1 
3389,1,0:200 19:1 20:1 
3391,1,0:3 19:1 20:1 
3407,1,0:19 19:1 20:1 
3413,1,0:281 19:1 20:1 
3433,1,0:14 19:1 20:1 
3449,1,0:167 19:1 20:1 
3457,1,0:51 19:1 20:1 
3461,1,0:44 19:1 20:1 
3463,1,0:160 19:1 20:1 
3467,1,0:47 19:1 20:1 
3469,1,0:65 19:1 20:1 
3491,1,0:203 19:1 20:1 
3499,1,0:73 19:1 20:1 
3511,1,0:51 19:1 20:1 
3517,1,0:701 19:1 20:1 
3527,1,0:118 19:1 20:1 
3529,1,0:92 19:1 20:1 
3533,1,0:238 19:1 20:1 
3539,1,0:8 19:1 20:1 
3541,1,0:90 19:1 20:1 
3547,1,0:165 19:1 20:1 
3557,1,0:208 19:1 20:1 
3559,1,0:264 19:1 20:1 
3571,1,0:98 19:1 20:1 
3581,1,0:67 19:1 20:1 
3583,1,0:76 19:1 20:1 
3593,1,0:77 19:1 20:1 
3607,1,0:38 19:1 20:1 
3613,1,0:32 19:1 20:1 
3617,1,0:197 19:1 20:1 
3623,1,0:120 19:1 20:1 
3631,1,0:85 19:1 20:1 
3637,1,0:60 19:1 20:1 
3643,1,0:32 19:1 20:1 
3659,1,0:160 19:1 20:1 
3671,1,0:37 19:1 20:1 
3673,1,0:56 19:1 20:1 
3677,1,0:32 19:1 20:1 
3691,1,0:244 19:1 20:1 
3697,1,0:356 19:1 20:1 
3701,1,0:19 19:1 20:1 
3709,1,0:46 19:1 20:1 
3719,1,0:47 19:1 20:1 
3727,1,0:20 19:1 20:1 
3733,1,0:341 19:1 20:1 
3739,1,0:65 19:1 20:1 
3761,1,0:120 19:1 20:1 
3767,1,0:14 19:1 20:1 
3769,1,0:51 19:1 20:1 
3779,1,0:24 19:1 20:1 
3793,1,0:28 19:1 20:1 
3797,1,0:7 19:1 20:1 
3803,1,0:134 19:1 20:1 
3821,1,0:161 19:1 20:1 
3823,1,0:171 19:1 20:1 
3833,1,0:6 19:1 20:1 
3847,1,0:254 19:1 20:1 
3851,1,0:133 19:1 20:1 
3853,1,0:180 19:1 20:1 
3863,1,0:97 19:1 20:1 
3877,1,0:60 19:1 20:1 
3881,1,0:13 19:1 20:1 
3889,1,0:129 19:1 20:1 
3907,1,0:281 19:1 20:1 
3911,1,0:26 19:1 20:1 
3917,1,0:75 19:1 20:1 
3919,1,0:99 19:1 20:1 
3923,1,0:116 19:1 20:1 
3929,1,0:127 19:1 20:1 
3931,1,0:51 19:1 20:1 
3943,1,0:113 19:1 20:1 
3947,1,0:17 19:1 20:1 
3967,1,0:140 19:1 20:1 
3989,1,0:18 19:1 20:1 
4001,1,0:176 19:1 20:1 
4003,1,0:23 19:1 20:1 
4007,1,0:166 19:1 20:1 
4013,1,0:108 19:1 20:1 
4019,1,0:2 19:1 20:1 
4021,1,0:79 19:1 20:1 
4027,1,0:20 19:1 20:1 
4049,1,0:26 19:1 20:1 
4051,1,0:21 19:1 20:1 
4057,1,0:122 19:1 20:1 
4073,1,0:91 19:1 20:1 
4079,1,0:47 19:1 20:1 
4091,1,0:356 19:1 20:1 
4093,1,0:60 19:1 20:1 
4099,1,0:40 19:1 20:1 
4111,1,0:244 19:1 20:1 
4127,1,0:7 19:1 20:1 
4129,1,0:78 19:1 20:1 
4133,1,0:12 19:1 20:1 
4139,1,0:30 19:1 20:1 
4153,1,0:17 19:1 20:1 
4157,1,0:351 19:1 20:1 
4159,1,0:239 19:1 20:1 
4177,1,0:80 19:1 20:1 
4201,1,0:65 19:1 20:1 
4211,1,0:10 19:1 20:1 
4217,1,0:45 19:1 20:1 
4219,1,0:32 19:1 20:1 
4229,1,0:106 19:1 20:1 
4231,1,0:33 19:1 20:1 
4241,1,0:333 19:1 20:1 
4243,1,0:45 19:1 20:1 
4253,1,0:30 19:1 20:1 
4259,1,0:294 19:1 20:1 
4261,1,0:123 19:1 20:1 
4271,1,0:92 19:1 20:1 
4273,1,0:77 19:1 20:1 
4283,1,0:103 19:1 20:1 
4289,1,0:399 19:1 20:1 
4297,1,0:193 19:1 20:1 
4327,1,0:103 19:1 20:1 
4337,1,0:138 19:1 20:1 
4339,1,0:360 19:1 20:1 
4349,1,0:224 19:1 20:1 
4357,1,0:18 19:1 20:1 
4363,1,0:30 19:1 20:1 
4373,1,0:5 19:1 20:1 
4391,1,0:133 19:1 20:1 
4397,1,0:2 19:1 20:1 
4409,1,0:14 19:1 20:1 
4421,1,0:60 19:1 20:1 
4423,1,0:3 19:1 20:1 
4441,1,0:21 19:1 20:1 
4447,1,0:58 19:1 20:1 
4451,1,0:24 19:1 20:1 
4457,1,0:90 19:1 20:1 
4463,1,0:80 19:1 20:1 
4481,1,0:62 19:1 20:1 
4483,1,0:18 19:1 20:1 
4493,1,0:195 19:1 20:1 
4507,1,0:65 19:1 20:1 
4513,1,0:29 19:1 20:1 
4517,1,0:48 19:1 20:1 
4519,1,0:198 19:1 20:1 
4523,1,0:54 19:1 20:1 
4547,1,0:107 19:1 20:1 
4549,1,0:153 19:1 20:1 
4561,1,0:52 19:1 20:1 
4567,1,0:40 19:1 20:1 
4583,1,0:237 19:1 20:1 
4591,1,0:158 19:1 20:1 
4597,1,0:21 19:1 20:1 
4603,1,0:298 19:1 20:1 
4621,1,0:378 19:1 20:1 
4637,1,0:277 19:1 20:1 
4639,1,0:73 19:1 20:1 
4643,1,0:19 19:1 20:1 
4649,1,0:3 19:1 20:1 
4651,1,0:40 19:1 20:1 
4657,1,0:38 19:1 20:1 
4663,1,0:89 19:1 20:1 
4673,1,0:107 19:1 20:1 
4679,1,0:43 19:1 20:1 
4691,1,0:7 19:1 20:1 
4703,1,0:41 19:1 20:1 
4721,1,0:177 19:1 20:1 
4723,1,0:3 19:1 20:1 
4729,1,0:217 19:1 20:1 
4733,1,0:30 19:1 20:1 
4751,1,0:314 19:1 20:1 
4759,1,0:33 19:1 20:1 
