p,r,mipo
1049,1,0:31 11:1 12:1 
1051,1,0:18 11:1 12:1 
1061,1,0:137 11:1 12:1 
1063,1,0:86 11:1 12:1 
1069,1,0:7 11:1 12:1 
1087,1,0:3 11:1 12:1 
1091,1,0:17 11:1 12:1 
1093,1,0:19 11:1 12:1 
1097,1,0:19 11:1 12:1 
1103,1,0:239 11:1 12:1 
1109,1,0:60 11:1 12:1 
1117,1,0:20 11:1 12:1 
1123,1,0:20 11:1 12:1 
1129,1,0:17 11:1 12:1 
1151,1,0:34 11:1 12:1 
1153,1,0:83 11:1 12:1 
1163,1,0:39 11:1 12:1 
1171,1,0:161 11:1 12:1 
1181,1,0:74 11:1 12:1 
1187,1,0:74 11:1 12:1 
1193,1,0:10 11:1 12:1 
1201,1,0:22 11:1 12:1 
1213,1,0:89 11:1 12:1 
1217,1,0:125 11:1 12:1 
1223,1,0:31 11:1 12:1 
1229,1,0:19 11:1 12:1 
1231,1,0:57 11:1 12:1 
1237,1,0:116 11:1 12:1 
1249,1,0:131 11:1 12:1 
1259,1,0:31 11:1 12:1 
1277,1,0:77 11:1 12:1 
1279,1,0:55 11:1 12:1 
1283,1,0:2 11:1 12:1 
1289,1,0:86 11:1 12:1 
1291,1,0:104 11:1 12:1 
1297,1,0:160 11:1 12:1 
1301,1,0:97 11:1 12:1 
1303,1,0:12 11:1 12:1 
1307,1,0:38 11:1 12:1 
1319,1,0:145 11:1 12:1 
1321,1,0:47 11:1 12:1 
1327,1,0:46 11:1 12:1 
1361,1,0:29 11:1 12:1 
1367,1,0:28 11:1 12:1 
1373,1,0:5 11:1 12:1 
1381,1,0:19 11:1 12:1 
1399,1,0:43 11:1 12:1 
1409,1,0:86 11:1 12:1 
1423,1,0:131 11:1 12:1 
1427,1,0:310 11:1 12:1 
1429,1,0:139 11:1 12:1 
1433,1,0:7 11:1 12:1 
1439,1,0:71 11:1 12:1 
1447,1,0:156 11:1 12:1 
1451,1,0:51 11:1 12:1 
1453,1,0:43 11:1 12:1 
1459,1,0:153 11:1 12:1 
1471,1,0:66 11:1 12:1 
1481,1,0:29 11:1 12:1 
1483,1,0:3 11:1 12:1 
1487,1,0:40 11:1 12:1 
1489,1,0:43 11:1 12:1 
1493,1,0:141 11:1 12:1 
1499,1,0:40 11:1 12:1 
1511,1,0:142 11:1 12:1 
1523,1,0:101 11:1 12:1 
1531,1,0:14 11:1 12:1 
1543,1,0:23 11:1 12:1 
1549,1,0:30 11:1 12:1 
1553,1,0:10 11:1 12:1 
1559,1,0:129 11:1 12:1 
1567,1,0:34 11:1 12:1 
1571,1,0:128 11:1 12:1 
1579,1,0:93 11:1 12:1 
1583,1,0:154 11:1 12:1 
1597,1,0:34 11:1 12:1 
1601,1,0:35 11:1 12:1 
1607,1,0:56 11:1 12:1 
1609,1,0:63 11:1 12:1 
1613,1,0:30 11:1 12:1 
1619,1,0:155 11:1 12:1 
1621,1,0:113 11:1 12:1 
1627,1,0:62 11:1 12:1 
1637,1,0:41 11:1 12:1 
1657,1,0:60 11:1 12:1 
1663,1,0:34 11:1 12:1 
1667,1,0:26 11:1 12:1 
1669,1,0:250 11:1 12:1 
1693,1,0:26 11:1 12:1 
1697,1,0:14 11:1 12:1 
1699,1,0:12 11:1 12:1 
1709,1,0:67 11:1 12:1 
1721,1,0:54 11:1 12:1 
1723,1,0:29 11:1 12:1 
1733,1,0:51 11:1 12:1 
1741,1,0:19 11:1 12:1 
1747,1,0:206 11:1 12:1 
1753,1,0:21 11:1 12:1 
1759,1,0:12 11:1 12:1 
1777,1,0:5 11:1 12:1 
1783,1,0:38 11:1 12:1 
1787,1,0:44 11:1 12:1 
1789,1,0:167 11:1 12:1 
1801,1,0:31 11:1 12:1 
1811,1,0:30 11:1 12:1 
1823,1,0:94 11:1 12:1 
1831,1,0:3 11:1 12:1 
1847,1,0:129 11:1 12:1 
1861,1,0:30 11:1 12:1 
1867,1,0:47 11:1 12:1 
1871,1,0:44 11:1 12:1 
1873,1,0:165 11:1 12:1 
1877,1,0:111 11:1 12:1 
1879,1,0:48 11:1 12:1 
1889,1,0:61 11:1 12:1 
1901,1,0:57 11:1 12:1 
1907,1,0:125 11:1 12:1 
1913,1,0:111 11:1 12:1 
1931,1,0:150 11:1 12:1 
1933,1,0:78 11:1 12:1 
1949,1,0:68 11:1 12:1 
1951,1,0:102 11:1 12:1 
1973,1,0:18 11:1 12:1 
1979,1,0:26 11:1 12:1 
1987,1,0:13 11:1 12:1 
1993,1,0:7 11:1 12:1 
1997,1,0:76 11:1 12:1 
1999,1,0:15 11:1 12:1 
2003,1,0:20 11:1 12:1 
2011,1,0:93 11:1 12:1 
2017,1,0:94 11:1 12:1 
2027,1,0:8 11:1 12:1 
2029,1,0:6 11:1 12:1 
2039,1,0:95 11:1 12:1 
2053,1,0:35 11:1 12:1 
2063,1,0:30 11:1 12:1 
2069,1,0:56 11:1 12:1 
2081,1,0:21 11:1 12:1 
2083,1,0:67 11:1 12:1 
2087,1,0:85 11:1 12:1 
2089,1,0:7 11:1 12:1 
2099,1,0:39 11:1 12:1 
2111,1,0:17 11:1 12:1 
2113,1,0:107 11:1 12:1 
2129,1,0:3 11:1 12:1 
2131,1,0:162 11:1 12:1 
2137,1,0:46 11:1 12:1 
2141,1,0:69 11:1 12:1 
2143,1,0:234 11:1 12:1 
2153,1,0:167 11:1 12:1 
2161,1,0:116 11:1 12:1 
2179,1,0:168 11:1 12:1 
2203,1,0:30 11:1 12:1 
2207,1,0:65 11:1 12:1 
2213,1,0:232 11:1 12:1 
2221,1,0:13 11:1 12:1 
2237,1,0:102 11:1 12:1 
2239,1,0:37 11:1 12:1 
2243,1,0:126 11:1 12:1 
2251,1,0:7 11:1 12:1 
2267,1,0:133 11:1 12:1 
2269,1,0:90 11:1 12:1 
2273,1,0:48 11:1 12:1 
2281,1,0:56 11:1 12:1 
2287,1,0:147 11:1 12:1 
2293,1,0:52 11:1 12:1 
2297,1,0:35 11:1 12:1 
2309,1,0:28 11:1 12:1 
2311,1,0:3 11:1 12:1 
2333,1,0:98 11:1 12:1 
2339,1,0:82 11:1 12:1 
2341,1,0:10 11:1 12:1 
2347,1,0:136 11:1 12:1 
2351,1,0:130 11:1 12:1 
2357,1,0:32 11:1 12:1 
2371,1,0:93 11:1 12:1 
2377,1,0:19 11:1 12:1 
2381,1,0:167 11:1 12:1 
2383,1,0:75 11:1 12:1 
2389,1,0:2 11:1 12:1 
2393,1,0:125 11:1 12:1 
2399,1,0:103 11:1 12:1 
2411,1,0:46 11:1 12:1 
2417,1,0:94 11:1 12:1 
2423,1,0:37 11:1 12:1 
2437,1,0:15 11:1 12:1 
2441,1,0:140 11:1 12:1 
2447,1,0:44 11:1 12:1 
2459,1,0:66 11:1 12:1 
2467,1,0:56 11:1 12:1 
2473,1,0:76 11:1 12:1 
2477,1,0:2 11:1 12:1 
2503,1,0:132 11:1 12:1 
2521,1,0:172 11:1 12:1 
2531,1,0:119 11:1 12:1 
2539,1,0:3 11:1 12:1 
2543,1,0:92 11:1 12:1 
2549,1,0:14 11:1 12:1 
2551,1,0:62 11:1 12:1 
2557,1,0:5 11:1 12:1 
2579,1,0:23 11:1 12:1 
2591,1,0:97 11:1 12:1 
2593,1,0:185 11:1 12:1 
2609,1,0:120 11:1 12:1 
2617,1,0:15 11:1 12:1 
2621,1,0:13 11:1 12:1 
2633,1,0:45 11:1 12:1 
2647,1,0:76 11:1 12:1 
2657,1,0:22 11:1 12:1 
2659,1,0:70 11:1 12:1 
2663,1,0:35 11:1 12:1 
2671,1,0:19 11:1 12:1 
2677,1,0:195 11:1 12:1 
2683,1,0:5 11:1 12:1 
2687,1,0:37 11:1 12:1 
2689,1,0:117 11:1 12:1 
2693,1,0:8 11:1 12:1 
2699,1,0:94 11:1 12:1 
2707,1,0:114 11:1 12:1 
2711,1,0:26 11:1 12:1 
2713,1,0:22 11:1 12:1 
2719,1,0:57 11:1 12:1 
2729,1,0:183 11:1 12:1 
2731,1,0:7 11:1 12:1 
2741,1,0:48 11:1 12:1 
2749,1,0:109 11:1 12:1 
2753,1,0:5 11:1 12:1 
2767,1,0:20 11:1 12:1 
2777,1,0:63 11:1 12:1 
2789,1,0:2 11:1 12:1 
2791,1,0:137 11:1 12:1 
2797,1,0:92 11:1 12:1 
2801,1,0:30 11:1 12:1 
2803,1,0:2 11:1 12:1 
2819,1,0:94 11:1 12:1 
2833,1,0:42 11:1 12:1 
2837,1,0:61 11:1 12:1 
2843,1,0:65 11:1 12:1 
2851,1,0:7 11:1 12:1 
2857,1,0:45 11:1 12:1 
2861,1,0:93 11:1 12:1 
2879,1,0:86 11:1 12:1 
2887,1,0:39 11:1 12:1 
2897,1,0:20 11:1 12:1 
2903,1,0:65 11:1 12:1 
2909,1,0:3 11:1 12:1 
2917,1,0:72 11:1 12:1 
2927,1,0:13 11:1 12:1 
2939,1,0:30 11:1 12:1 
2953,1,0:13 11:1 12:1 
2957,1,0:186 11:1 12:1 
2963,1,0:167 11:1 12:1 
2969,1,0:149 11:1 12:1 
2971,1,0:93 11:1 12:1 
2999,1,0:37 11:1 12:1 
3001,1,0:23 11:1 12:1 
3011,1,0:77 11:1 12:1 
3019,1,0:85 11:1 12:1 
3023,1,0:45 11:1 12:1 
3037,1,0:50 11:1 12:1 
3041,1,0:3 11:1 12:1 
3049,1,0:123 11:1 12:1 
3061,1,0:98 11:1 12:1 
3067,1,0:62 11:1 12:1 
3079,1,0:69 11:1 12:1 
3083,1,0:11 11:1 12:1 
3089,1,0:15 11:1 12:1 
3109,1,0:65 11:1 12:1 
3119,1,0:112 11:1 12:1 
3121,1,0:179 11:1 12:1 
3137,1,0:35 11:1 12:1 
3163,1,0:18 11:1 12:1 
3167,1,0:51 11:1 12:1 
3169,1,0:56 11:1 12:1 
3181,1,0:84 11:1 12:1 
3187,1,0:175 11:1 12:1 
3191,1,0:136 11:1 12:1 
3203,1,0:23 11:1 12:1 
3209,1,0:48 11:1 12:1 
3217,1,0:23 11:1 12:1 
3221,1,0:79 11:1 12:1 
3229,1,0:67 11:1 12:1 
3251,1,0:23 11:1 12:1 
3253,1,0:114 11:1 12:1 
3257,1,0:33 11:1 12:1 
3259,1,0:61 11:1 12:1 
3271,1,0:34 11:1 12:1 
3299,1,0:35 11:1 12:1 
3301,1,0:98 11:1 12:1 
3307,1,0:208 11:1 12:1 
3313,1,0:10 11:1 12:1 
3319,1,0:15 11:1 12:1 
3323,1,0:228 11:1 12:1 
3329,1,0:42 11:1 12:1 
3331,1,0:82 11:1 12:1 
3343,1,0:93 11:1 12:1 
3347,1,0:60 11:1 12:1 
3359,1,0:101 11:1 12:1 
3361,1,0:86 11:1 12:1 
3371,1,0:78 11:1 12:1 
3373,1,0:52 11:1 12:1 
3389,1,0:22 11:1 12:1 
3391,1,0:105 11:1 12:1 
3407,1,0:124 11:1 12:1 
3413,1,0:12 11:1 12:1 
3433,1,0:10 11:1 12:1 
3449,1,0:30 11:1 12:1 
3457,1,0:120 11:1 12:1 
3461,1,0:12 11:1 12:1 
3463,1,0:198 11:1 12:1 
3467,1,0:20 11:1 12:1 
3469,1,0:54 11:1 12:1 
3491,1,0:31 11:1 12:1 
3499,1,0:14 11:1 12:1 
3511,1,0:33 11:1 12:1 
3517,1,0:18 11:1 12:1 
3527,1,0:92 11:1 12:1 
3529,1,0:26 11:1 12:1 
3533,1,0:37 11:1 12:1 
3539,1,0:26 11:1 12:1 
3541,1,0:96 11:1 12:1 
3547,1,0:354 11:1 12:1 
3557,1,0:148 11:1 12:1 
3559,1,0:39 11:1 12:1 
3571,1,0:75 11:1 12:1 
3581,1,0:12 11:1 12:1 
3583,1,0:40 11:1 12:1 
3593,1,0:13 11:1 12:1 
3607,1,0:43 11:1 12:1 
3613,1,0:5 11:1 12:1 
3617,1,0:59 11:1 12:1 
3623,1,0:46 11:1 12:1 
3631,1,0:71 11:1 12:1 
3637,1,0:104 11:1 12:1 
3643,1,0:32 11:1 12:1 
3659,1,0:32 11:1 12:1 
3671,1,0:76 11:1 12:1 
3673,1,0:56 11:1 12:1 
3677,1,0:41 11:1 12:1 
3691,1,0:88 11:1 12:1 
3697,1,0:61 11:1 12:1 
3701,1,0:23 11:1 12:1 
3709,1,0:41 11:1 12:1 
