p,	poly
281,	x^28 + x^27 + 210
283,	x^28 + x^27 + 98
293,	x^28 + x^27 + 241
307,	x^28 + 5*x^27 + 106
311,	x^28 + x^27 + 194
313,	x^28 + x^27 + 268
317,	x^28 + x^27 + 27
331,	x^28 + x^27 + 93
337,	x^28 + x^27 + 306
347,	x^28 + x^27 + 20
349,	x^28 + x^27 + 112
353,	x^28 + x^27 + 85
359,	x^28 + x^27 + 142
367,	x^28 + x^27 + 17
373,	x^28 + x^27 + 72
379,	x^28 + x^27 + 60
383,	x^28 + x^27 + 122
389,	x^28 + x^27 + 83
397,	x^28 + x^27 + 259
401,	x^28 + x^27 + 137
409,	x^28 + x^27 + 251
419,	x^28 + x^27 + 382
421,	x^28 + x^27 + 14
431,	x^28 + x^27 + 74
433,	x^28 + x^27 + 19
439,	x^28 + x^27 + 340
443,	x^28 + x^27 + 74
449,	x^28 + x^27 + 105
457,	x^28 + x^27 + 211
461,	x^28 + x^27 + 3
463,	x^28 + x^27 + 53
467,	x^28 + x^27 + 183
479,	x^28 + x^27 + 134
487,	x^28 + x^27 + 80
491,	x^28 + x^27 + 67
499,	x^28 + x^27 + 86
503,	x^28 + x^27 + 120
509,	x^28 + x^27 + 41
521,	x^28 + x^27 + 170
523,	x^28 + x^27 + 57
541,	x^28 + x^27 + 181
547,	x^28 + x^27 + 77
557,	x^28 + x^27 + 103
563,	x^28 + x^27 + 369
569,	x^28 + x^27 + 42
571,	x^28 + x^27 + 130
577,	x^28 + x^27 + 13
587,	x^28 + x^27 + 524
593,	x^28 + x^27 + 117
599,	x^28 + x^27 + 79
601,	x^28 + x^27 + 110
607,	x^28 + x^27 + 67
613,	x^28 + x^27 + 15
617,	x^28 + x^27 + 110
619,	x^28 + x^27 + 272
631,	x^28 + x^27 + 12
641,	x^28 + x^27 + 209
643,	x^28 + x^27 + 17
647,	x^28 + x^27 + 125
653,	x^28 + x^27 + 5
659,	x^28 + x^27 + 30
661,	x^28 + x^27 + 37
673,	x^28 + x^27 + 82
677,	x^28 + x^27 + 47
683,	x^28 + x^27 + 496
691,	x^28 + x^27 + 279
701,	x^28 + x^27 + 413
709,	x^28 + x^27 + 23
719,	x^28 + x^27 + 33
727,	x^28 + x^27 + 84
733,	x^28 + x^27 + 71
739,	x^28 + x^27 + 34
743,	x^28 + x^27 + 87
751,	x^28 + x^27 + 143
757,	x^28 + x^27 + 152
761,	x^28 + x^27 + 177
769,	x^28 + x^27 + 23
773,	x^28 + x^27 + 590
787,	x^28 + x^27 + 83
797,	x^28 + x^27 + 19
809,	x^28 + x^27 + 27
811,	x^28 + x^27 + 325
821,	x^28 + x^27 + 53
823,	x^28 + x^27 + 105
827,	x^28 + x^27 + 98
829,	x^28 + x^27 + 544
839,	x^28 + x^27 + 136
853,	x^28 + x^27 + 53
857,	x^28 + x^27 + 118
859,	x^28 + x^27 + 37
863,	x^28 + x^27 + 28
877,	x^28 + x^27 + 222
881,	x^28 + x^27 + 92
883,	x^28 + x^27 + 270
887,	x^28 + x^27 + 211
907,	x^28 + x^27 + 83
911,	x^28 + x^27 + 141
919,	x^28 + x^27 + 97
929,	x^28 + x^27 + 15
937,	x^28 + x^27 + 252
941,	x^28 + x^27 + 99
947,	x^28 + x^27 + 63
953,	x^28 + x^27 + 47
967,	x^28 + x^27 + 66
971,	x^28 + x^27 + 234
977,	x^28 + x^27 + 408
983,	x^28 + x^27 + 299
991,	x^28 + x^27 + 108
997,	x^28 + x^27 + 178
1009,	x^28 + x^27 + 92
1013,	x^28 + x^27 + 12
1019,	x^28 + x^27 + 158
1021,	x^28 + x^27 + 35
1031,	x^28 + x^27 + 114
1033,	x^28 + x^27 + 239
1039,	x^28 + x^27 + 349
1049,	x^28 + x^27 + 87
1051,	x^28 + x^27 + 17
1061,	x^28 + x^27 + 65
1063,	x^28 + x^27 + 222
1069,	x^28 + x^27 + 55
1087,	x^28 + x^27 + 94
1091,	x^28 + x^27 + 154
1093,	x^28 + x^27 + 180
1097,	x^28 + x^27 + 230
1103,	x^28 + x^27 + 367
1109,	x^28 + x^27 + 97
1117,	x^28 + x^27 + 56
1123,	x^28 + x^27 + 12
1129,	x^28 + x^27 + 241
