p,	n,	poly
191,	3,	x^3 + x^2 + 9
191,	4,	x^4 + x^3 + 29
191,	5,	x^5 + x^4 + 3
191,	6,	x^6 + x^5 + 22
191,	7,	x^7 + x^6 + 12
191,	8,	x^8 + x^7 + 22
191,	9,	x^9 + x^8 + 9
191,	10,	x^10 + x^9 + 95
191,	11,	x^11 + x^10 + 77
191,	12,	x^12 + x^11 + 57
191,	13,	x^13 + x^12 + 27
191,	14,	x^14 + x^13 + 126
191,	15,	x^15 + x^14 + 2
191,	16,	x^16 + x^15 + 137
191,	17,	x^17 + x^16 + 12
191,	18,	x^18 + x^17 + 91
191,	19,	x^19 + x^18 + 16
191,	20,	x^20 + x^19 + 61
191,	21,	x^21 + x^20 + 45
191,	22,	x^22 + 2*x^21 + 56
191,	23,	x^23 + x^22 + 85
191,	24,	x^24 + x^23 + 91
191,	25,	x^25 + x^24 + 147
191,	26,	x^26 + x^25 + 56
191,	27,	x^27 + x^26 + 3
191,	28,	x^28 + x^27 + 145
191,	29,	x^29 + x^28 + 92
191,	30,	x^30 + x^29 + 110
193,	2,	x^2 + x + 5
193,	3,	x^3 + x^2 + 17
193,	4,	x^4 + x^3 + 38
193,	5,	x^5 + x^4 + 22
193,	6,	x^6 + x^5 + 15
193,	7,	x^7 + x^6 + 17
193,	8,	x^8 + x^7 + 41
193,	9,	x^9 + x^8 + 38
193,	10,	x^10 + x^9 + 40
193,	11,	x^11 + x^10 + 103
193,	12,	x^12 + x^11 + x + 22
193,	13,	x^13 + x^12 + 52
193,	14,	x^14 + x^13 + 15
193,	15,	x^15 + x^14 + 40
193,	16,	x^16 + x^15 + 91
193,	17,	x^17 + x^16 + 38
193,	18,	x^18 + x^17 + 78
193,	19,	x^19 + x^18 + 61
193,	20,	x^20 + x^19 + 34
193,	21,	x^21 + x^20 + 123
193,	22,	x^22 + x^21 + x + 47
193,	23,	x^23 + x^22 + 15
193,	24,	x^24 + x^23 + 2*x + 116
193,	25,	x^25 + x^24 + 10
193,	26,	x^26 + x^25 + 10
193,	27,	x^27 + x^26 + 132
193,	28,	x^28 + x^27 + 34
193,	29,	x^29 + 2*x^28 + 146
193,	30,	x^30 + x^29 + 47
197,	2,	x^2 + x + 3
197,	3,	x^3 + x^2 + 12
197,	4,	x^4 + x^3 + 35
197,	5,	x^5 + x^4 + 2
197,	6,	x^6 + x^5 + 11
197,	7,	x^7 + x^6 + 31
197,	8,	x^8 + x^7 + 45
197,	9,	x^9 + x^8 + 57
197,	10,	x^10 + x^9 + 12
197,	11,	x^11 + x^10 + 75
197,	12,	x^12 + x^11 + 45
197,	13,	x^13 + x^12 + 2
197,	14,	x^14 + x^13 + 71
197,	15,	x^15 + x^14 + 50
197,	16,	x^16 + x^15 + 186
197,	17,	x^17 + x^16 + 79
197,	18,	x^18 + x^17 + 79
197,	19,	x^19 + x^18 + 8
197,	20,	x^20 + x^19 + 98
197,	21,	x^21 + x^20 + 67
197,	22,	x^22 + x^21 + 186
197,	23,	x^23 + x^22 + 86
197,	24,	x^24 + x^23 + 27
197,	25,	x^25 + x^24 + 3
197,	26,	x^26 + x^25 + 74
197,	27,	x^27 + x^26 + 44
197,	28,	x^28 + x^27 + 2*x + 115
197,	29,	x^29 + x^28 + 11
197,	30,	x^30 + x^29 + 12
199,	2,	x^2 + x + 6
199,	3,	x^3 + x^2 + 9
199,	4,	x^4 + x^3 + 44
199,	5,	x^5 + x^4 + 4
199,	6,	x^6 + x^5 + 48
199,	7,	x^7 + x^6 + 104
199,	8,	x^8 + x^7 + 6
199,	9,	x^9 + x^8 + 4
199,	10,	x^10 + x^9 + 3
199,	11,	x^11 + x^10 + 26
199,	12,	x^12 + x^11 + 142
199,	13,	x^13 + x^12 + 31
199,	14,	x^14 + x^13 + 73
199,	15,	x^15 + x^14 + 100
199,	16,	x^16 + x^15 + 54
199,	17,	x^17 + x^16 + 23
199,	18,	x^18 + x^17 + 68
199,	19,	x^19 + x^18 + 86
199,	20,	x^20 + x^19 + 34
199,	21,	x^21 + x^20 + 46
199,	22,	x^22 + x^21 + 48
199,	23,	x^23 + 2*x^22 + 193
199,	24,	x^24 + x^23 + 68
199,	25,	x^25 + x^24 + 10
199,	26,	x^26 + x^25 + 73
199,	27,	x^27 + x^26 + 112
199,	28,	x^28 + x^27 + 87
199,	29,	x^29 + 3*x^28 + 70
199,	30,	x^30 + x^29 + 54
211,	2,	x^2 + x + 3
211,	3,	x^3 + x^2 + 6
211,	4,	x^4 + x^3 + 2
211,	5,	x^5 + x^4 + 4
211,	6,	x^6 + x^5 + 7
211,	7,	x^7 + x^6 + 9
211,	8,	x^8 + x^7 + 7
211,	9,	x^9 + x^8 + 4
211,	10,	x^10 + x^9 + 29
211,	11,	x^11 + x^10 + 37
211,	12,	x^12 + x^11 + 174
211,	13,	x^13 + x^12 + 84
211,	14,	x^14 + x^13 + 2
211,	15,	x^15 + x^14 + 6
211,	16,	x^16 + x^15 + 108
211,	17,	x^17 + x^16 + 70
211,	18,	x^18 + x^17 + 142
211,	19,	x^19 + x^18 + 44
211,	20,	x^20 + x^19 + 167
211,	21,	x^21 + x^20 + 36
211,	22,	x^22 + x^21 + 17
211,	23,	x^23 + x^22 + 24
211,	24,	x^24 + x^23 + x + 174
211,	25,	x^25 + x^24 + 70
211,	26,	x^26 + 2*x^25 + 48
211,	27,	x^27 + x^26 + 172
211,	28,	x^28 + 2*x^27 + 164
211,	29,	x^29 + x^28 + 136
211,	30,	x^30 + x^29 + x + 127
223,	2,	x^2 + x + 5
223,	3,	x^3 + x^2 + 19
223,	4,	x^4 + x^3 + 10
223,	5,	x^5 + x^4 + 9
223,	6,	x^6 + x^5 + 6
223,	7,	x^7 + x^6 + 29
223,	8,	x^8 + x^7 + 84
223,	9,	x^9 + x^8 + 100
223,	10,	x^10 + x^9 + 79
223,	11,	x^11 + x^10 + 63
223,	12,	x^12 + x^11 + 3
223,	13,	x^13 + x^12 + 25
223,	14,	x^14 + x^13 + 61
223,	15,	x^15 + x^14 + 69
223,	16,	x^16 + x^15 + 44
223,	17,	x^17 + x^16 + 74
223,	18,	x^18 + x^17 + 23
223,	19,	x^19 + x^18 + 74
223,	20,	x^20 + x^19 + 6
223,	21,	x^21 + x^20 + 18
223,	22,	x^22 + x^21 + 192
223,	23,	x^23 + x^22 + 9
223,	24,	x^24 + x^23 + 147
223,	25,	x^25 + 3*x^24 + 81
223,	26,	x^26 + x^25 + 85
223,	27,	x^27 + x^26 + 55
223,	28,	x^28 + x^27 + 48
223,	29,	x^29 + x^28 + 29
227,	2,	x^2 + x + 5
227,	3,	x^3 + x^2 + 7
227,	4,	x^4 + x^3 + 2
227,	5,	x^5 + x^4 + 29
227,	6,	x^6 + x^5 + 18
227,	7,	x^7 + x^6 + 10
227,	8,	x^8 + x^7 + 15
227,	9,	x^9 + x^8 + 9
227,	10,	x^10 + x^9 + 60
227,	11,	x^11 + x^10 + 11
227,	12,	x^12 + x^11 + 32
227,	13,	x^13 + x^12 + 33
227,	14,	x^14 + x^13 + 20
227,	15,	x^15 + x^14 + 11
227,	16,	x^16 + x^15 + 38
227,	17,	x^17 + x^16 + 10
227,	18,	x^18 + x^17 + 6
227,	19,	x^19 + x^18 + 16
227,	20,	x^20 + x^19 + 58
227,	21,	x^21 + 2*x^20 + 196
227,	22,	x^22 + x^21 + 13
227,	23,	x^23 + x^22 + 9
227,	24,	x^24 + x^23 + 149
227,	25,	x^25 + x^24 + 112
227,	26,	x^26 + x^25 + 20
227,	27,	x^27 + x^26 + 100
227,	28,	x^28 + x^27 + 8
227,	29,	x^29 + x^28 + 28
229,	2,	x^2 + x + 6
229,	3,	x^3 + x^2 + 6
229,	4,	x^4 + x^3 + 29
229,	5,	x^5 + x^4 + 10
229,	6,	x^6 + x^5 + 7
229,	7,	x^7 + x^6 + 10
229,	8,	x^8 + x^7 + 116
229,	9,	x^9 + x^8 + 23
229,	10,	x^10 + x^9 + 24
229,	11,	x^11 + x^10 + 98
229,	12,	x^12 + 2*x^11 + 205
229,	13,	x^13 + x^12 + 40
229,	14,	x^14 + x^13 + 170
229,	15,	x^15 + x^14 + 31
229,	16,	x^16 + x^15 + 39
229,	17,	x^17 + x^16 + 67
229,	18,	x^18 + x^17 + 65
229,	19,	x^19 + x^18 + 28
229,	20,	x^20 + x^19 + 24
229,	21,	x^21 + x^20 + 188
229,	22,	x^22 + x^21 + 170
229,	23,	x^23 + x^22 + 133
229,	24,	x^24 + x^23 + 74
229,	25,	x^25 + x^24 + 189
229,	26,	x^26 + x^25 + 98
229,	27,	x^27 + x^26 + 39
229,	28,	x^28 + x^27 + 38
229,	29,	x^29 + x^28 + 92
233,	2,	x^2 + x + 3
233,	3,	x^3 + x^2 + 5
233,	4,	x^4 + x^3 + 3
233,	5,	x^5 + x^4 + 3
233,	6,	x^6 + x^5 + 59
233,	7,	x^7 + x^6 + 6
233,	8,	x^8 + x^7 + 6
233,	9,	x^9 + x^8 + 24
233,	10,	x^10 + x^9 + 40
233,	11,	x^11 + x^10 + 45
233,	12,	x^12 + x^11 + 6
233,	13,	x^13 + x^12 + 10
233,	14,	x^14 + x^13 + 39
233,	15,	x^15 + x^14 + 3
233,	16,	x^16 + x^15 + 24
233,	17,	x^17 + x^16 + 75
233,	18,	x^18 + x^17 + 65
233,	19,	x^19 + x^18 + 6
233,	20,	x^20 + x^19 + 67
233,	21,	x^21 + x^20 + 6
233,	22,	x^22 + x^21 + 185
233,	23,	x^23 + x^22 + 22
233,	24,	x^24 + x^23 + 54
233,	25,	x^25 + x^24 + 21
233,	26,	x^26 + x^25 + 176
233,	27,	x^27 + x^26 + 27
233,	28,	x^28 + x^27 + 146
233,	29,	x^29 + x^28 + 41
239,	2,	x^2 + x + 13
239,	3,	x^3 + x^2 + 5
239,	4,	x^4 + x^3 + 13
239,	5,	x^5 + x^4 + 15
239,	6,	x^6 + x^5 + 7
239,	7,	x^7 + x^6 + 2
239,	8,	x^8 + x^7 + 46
239,	9,	x^9 + x^8 + 5
239,	10,	x^10 + x^9 + 47
239,	11,	x^11 + x^10 + 15
239,	12,	x^12 + x^11 + 63
239,	13,	x^13 + x^12 + 18
239,	14,	x^14 + x^13 + 53
239,	15,	x^15 + x^14 + 33
239,	16,	x^16 + x^15 + 14
239,	17,	x^17 + x^16 + 32
239,	18,	x^18 + x^17 + 56
239,	19,	x^19 + x^18 + 93
239,	20,	x^20 + x^19 + 63
239,	21,	x^21 + x^20 + 17
239,	22,	x^22 + x^21 + 19
239,	23,	x^23 + x^22 + 186
239,	24,	x^24 + x^23 + 123
239,	25,	x^25 + x^24 + 110
239,	26,	x^26 + x^25 + x + 21
239,	27,	x^27 + x^26 + 48
239,	28,	x^28 + x^27 + 65
239,	29,	x^29 + x^28 + 29
241,	2,	x^2 + x + 13
241,	3,	x^3 + x^2 + 13
241,	4,	x^4 + x^3 + 69
241,	5,	x^5 + x^4 + 39
241,	6,	x^6 + x^5 + 68
241,	7,	x^7 + x^6 + 7
241,	8,	x^8 + x^7 + 84
241,	9,	x^9 + x^8 + 31
241,	10,	x^10 + x^9 + 74
241,	11,	x^11 + x^10 + 14
241,	12,	x^12 + x^11 + 35
241,	13,	x^13 + x^12 + 35
241,	14,	x^14 + x^13 + 34
241,	15,	x^15 + x^14 + 7
241,	16,	x^16 + x^15 + 104
241,	17,	x^17 + x^16 + 35
241,	18,	x^18 + x^17 + 70
241,	19,	x^19 + x^18 + 68
241,	20,	x^20 + 2*x^19 + 13
241,	21,	x^21 + x^20 + 173
241,	22,	x^22 + x^21 + 185
241,	23,	x^23 + x^22 + 14
241,	24,	x^24 + x^23 + 185
241,	25,	x^25 + x^24 + 78
241,	26,	x^26 + x^25 + 46
241,	27,	x^27 + 3*x^26 + 202
241,	28,	x^28 + 2*x^27 + 189
241,	29,	x^29 + x^28 + 35
251,	2,	x^2 + x + 19
251,	3,	x^3 + x^2 + 7
251,	4,	x^4 + x^3 + 37
251,	5,	x^5 + x^4 + 3
251,	6,	x^6 + x^5 + 59
251,	7,	x^7 + x^6 + 15
251,	8,	x^8 + x^7 + 30
251,	9,	x^9 + x^8 + 3
251,	10,	x^10 + x^9 + 72
251,	11,	x^11 + x^10 + 45
251,	12,	x^12 + x^11 + 34
251,	13,	x^13 + x^12 + 49
251,	14,	x^14 + x^13 + 11
251,	15,	x^15 + x^14 + 7
251,	16,	x^16 + x^15 + 19
251,	17,	x^17 + x^16 + 49
251,	18,	x^18 + x^17 + 193
251,	19,	x^19 + x^18 + 9
251,	20,	x^20 + x^19 + 59
251,	21,	x^21 + x^20 + 52
251,	22,	x^22 + x^21 + 33
251,	23,	x^23 + x^22 + 114
251,	24,	x^24 + x^23 + 104
251,	25,	x^25 + x^24 + 105
251,	26,	x^26 + x^25 + 30
251,	27,	x^27 + x^26 + 192
251,	28,	x^28 + x^27 + 54
251,	29,	x^29 + x^28 + 13
257,	2,	x^2 + x + 5
257,	3,	x^3 + x^2 + 6
257,	4,	x^4 + x^3 + 6
257,	5,	x^5 + x^4 + 6
257,	6,	x^6 + x^5 + 53
257,	7,	x^7 + x^6 + 48
257,	8,	x^8 + x^7 + 10
257,	9,	x^9 + x^8 + 20
257,	10,	x^10 + x^9 + 3
257,	11,	x^11 + x^10 + 19
257,	12,	x^12 + x^11 + 74
257,	13,	x^13 + x^12 + 37
257,	14,	x^14 + x^13 + 63
257,	15,	x^15 + x^14 + 38
257,	16,	x^16 + x^15 + 82
257,	17,	x^17 + x^16 + 66
257,	18,	x^18 + x^17 + 63
257,	19,	x^19 + x^18 + 53
257,	20,	x^20 + x^19 + 39
257,	21,	x^21 + x^20 + 48
257,	22,	x^22 + x^21 + 106
257,	23,	x^23 + x^22 + 3
257,	24,	x^24 + x^23 + 179
257,	25,	x^25 + x^24 + 27
257,	26,	x^26 + x^25 + 14
257,	27,	x^27 + x^26 + 3
257,	28,	x^28 + x^27 + 230
257,	29,	x^29 + x^28 + 130
263,	2,	x^2 + x + 7
263,	3,	x^3 + x^2 + 2
263,	4,	x^4 + x^3 + 41
263,	5,	x^5 + x^4 + 8
263,	6,	x^6 + x^5 + 14
263,	7,	x^7 + x^6 + 3
263,	8,	x^8 + x^7 + 19
263,	9,	x^9 + x^8 + 12
263,	10,	x^10 + x^9 + 21
263,	11,	x^11 + x^10 + 72
263,	12,	x^12 + x^11 + 21
263,	13,	x^13 + x^12 + 12
263,	14,	x^14 + x^13 + 10
263,	15,	x^15 + x^14 + 23
263,	16,	x^16 + x^15 + 38
263,	17,	x^17 + x^16 + 11
263,	18,	x^18 + x^17 + 21
263,	19,	x^19 + x^18 + 208
263,	20,	x^20 + x^19 + 241
263,	21,	x^21 + x^20 + 18
263,	22,	x^22 + x^21 + 101
263,	23,	x^23 + x^22 + 35
263,	24,	x^24 + x^23 + 45
263,	25,	x^25 + x^24 + 88
263,	26,	x^26 + x^25 + 135
263,	27,	x^27 + x^26 + 13
263,	28,	x^28 + x^27 + 21
269,	2,	x^2 + x + 2
269,	3,	x^3 + x^2 + 3
269,	4,	x^4 + x^3 + 12
269,	5,	x^5 + x^4 + 27
269,	6,	x^6 + x^5 + 7
269,	7,	x^7 + x^6 + 7
269,	8,	x^8 + x^7 + 32
269,	9,	x^9 + x^8 + 18
269,	10,	x^10 + x^9 + 71
269,	11,	x^11 + x^10 + 19
269,	12,	x^12 + x^11 + 83
269,	13,	x^13 + x^12 + 42
269,	14,	x^14 + x^13 + 50
269,	15,	x^15 + x^14 + 22
269,	16,	x^16 + x^15 + 132
269,	17,	x^17 + x^16 + 15
269,	18,	x^18 + x^17 + 18
269,	19,	x^19 + x^18 + 2
269,	20,	x^20 + x^19 + 124
269,	21,	x^21 + x^20 + 18
269,	22,	x^22 + x^21 + x + 33
269,	23,	x^23 + x^22 + 163
269,	24,	x^24 + x^23 + 122
269,	25,	x^25 + x^24 + 106
269,	26,	x^26 + x^25 + 68
269,	27,	x^27 + x^26 + 48
269,	28,	x^28 + x^27 + 85
271,	2,	x^2 + x + 21
271,	3,	x^3 + x^2 + 2
271,	4,	x^4 + x^3 + 38
271,	5,	x^5 + x^4 + 37
271,	6,	x^6 + x^5 + 76
271,	7,	x^7 + x^6 + 2
271,	8,	x^8 + x^7 + 92
271,	9,	x^9 + x^8 + 11
271,	10,	x^10 + x^9 + 42
271,	11,	x^11 + x^10 + 45
271,	12,	x^12 + x^11 + 76
271,	13,	x^13 + x^12 + 49
271,	14,	x^14 + x^13 + 76
271,	15,	x^15 + x^14 + 56
271,	16,	x^16 + x^15 + 71
271,	17,	x^17 + x^16 + 2
271,	18,	x^18 + x^17 + 58
271,	19,	x^19 + x^18 + 103
271,	20,	x^20 + 2*x^19 + 42
271,	21,	x^21 + x^20 + 89
271,	22,	x^22 + x^21 + 76
271,	23,	x^23 + x^22 + 68
271,	24,	x^24 + x^23 + 48
271,	25,	x^25 + x^24 + 45
271,	26,	x^26 + x^25 + 143
271,	27,	x^27 + x^26 + 129
271,	28,	x^28 + x^27 + 6
277,	2,	x^2 + x + 11
277,	3,	x^3 + x^2 + 5
277,	4,	x^4 + x^3 + 6
277,	5,	x^5 + x^4 + 6
277,	6,	x^6 + x^5 + 14
277,	7,	x^7 + x^6 + 24
277,	8,	x^8 + x^7 + 11
277,	9,	x^9 + x^8 + 6
277,	10,	x^10 + x^9 + 17
277,	11,	x^11 + x^10 + 14
277,	12,	x^12 + x^11 + 137
277,	13,	x^13 + x^12 + 97
277,	14,	x^14 + x^13 + 18
277,	15,	x^15 + x^14 + 68
277,	16,	x^16 + x^15 + 78
277,	17,	x^17 + x^16 + 143
277,	18,	x^18 + x^17 + 98
277,	19,	x^19 + x^18 + 24
277,	20,	x^20 + x^19 + 167
277,	21,	x^21 + x^20 + 135
277,	22,	x^22 + x^21 + 6
277,	23,	x^23 + x^22 + 162
277,	24,	x^24 + x^23 + 72
277,	25,	x^25 + x^24 + 234
277,	26,	x^26 + x^25 + 94
277,	27,	x^27 + x^26 + 50
277,	28,	x^28 + x^27 + 44
281,	2,	x^2 + x + 3
281,	3,	x^3 + x^2 + 12
281,	4,	x^4 + x^3 + 3
281,	5,	x^5 + x^4 + 3
281,	6,	x^6 + x^5 + 30
281,	7,	x^7 + x^6 + 3
281,	8,	x^8 + x^7 + 15
281,	9,	x^9 + x^8 + 13
281,	10,	x^10 + x^9 + 44
281,	11,	x^11 + x^10 + 21
281,	12,	x^12 + x^11 + 30
281,	13,	x^13 + x^12 + 48
281,	14,	x^14 + x^13 + 48
281,	15,	x^15 + x^14 + 3
281,	16,	x^16 + x^15 + 13
281,	17,	x^17 + x^16 + 161
281,	18,	x^18 + x^17 + 83
281,	19,	x^19 + x^18 + 30
281,	20,	x^20 + x^19 + 3
281,	21,	x^21 + x^20 + 75
281,	22,	x^22 + x^21 + 150
281,	23,	x^23 + x^22 + 27
281,	24,	x^24 + x^23 + 46
281,	25,	x^25 + x^24 + 22
281,	26,	x^26 + x^25 + 97
281,	27,	x^27 + x^26 + 71
281,	28,	x^28 + x^27 + 210
283,	2,	x^2 + x + 3
283,	3,	x^3 + x^2 + 6
283,	4,	x^4 + x^3 + 17
283,	5,	x^5 + x^4 + 11
283,	6,	x^6 + x^5 + 12
283,	7,	x^7 + x^6 + 6
283,	8,	x^8 + x^7 + 14
283,	9,	x^9 + x^8 + 28
283,	10,	x^10 + x^9 + 3
283,	11,	x^11 + x^10 + 9
283,	12,	x^12 + x^11 + 26
283,	13,	x^13 + x^12 + 23
283,	14,	x^14 + x^13 + 12
283,	15,	x^15 + x^14 + 34
283,	16,	x^16 + x^15 + 72
283,	17,	x^17 + x^16 + 28
283,	18,	x^18 + x^17 + 18
283,	19,	x^19 + x^18 + 7
283,	20,	x^20 + x^19 + 18
283,	21,	x^21 + x^20 + 40
283,	22,	x^22 + x^21 + 35
283,	23,	x^23 + x^22 + 252
283,	24,	x^24 + x^23 + 107
283,	25,	x^25 + x^24 + 63
283,	26,	x^26 + x^25 + 133
283,	27,	x^27 + x^26 + 63
283,	28,	x^28 + x^27 + 98
293,	2,	x^2 + x + 2
293,	3,	x^3 + x^2 + 3
293,	4,	x^4 + x^3 + 3
293,	5,	x^5 + x^4 + 13
293,	6,	x^6 + x^5 + 3
293,	7,	x^7 + x^6 + 32
293,	8,	x^8 + x^7 + 76
293,	9,	x^9 + x^8 + 32
293,	10,	x^10 + x^9 + 27
293,	11,	x^11 + x^10 + 30
293,	12,	x^12 + x^11 + 19
293,	13,	x^13 + x^12 + 23
293,	14,	x^14 + x^13 + 117
293,	15,	x^15 + x^14 + 7
293,	16,	x^16 + x^15 + 19
293,	17,	x^17 + x^16 + 42
293,	18,	x^18 + x^17 + 66
293,	19,	x^19 + x^18 + 50
293,	20,	x^20 + x^19 + 99
293,	21,	x^21 + x^20 + 105
293,	22,	x^22 + x^21 + 74
293,	23,	x^23 + x^22 + 44
293,	24,	x^24 + x^23 + 44
293,	25,	x^25 + x^24 + 42
293,	26,	x^26 + x^25 + 29
293,	27,	x^27 + x^26 + 11
293,	28,	x^28 + x^27 + 241
307,	2,	x^2 + x + 5
307,	3,	x^3 + x^2 + 11
307,	4,	x^4 + x^3 + 13
307,	5,	x^5 + x^4 + 25
307,	6,	x^6 + x^5 + 45
307,	7,	x^7 + x^6 + 25
307,	8,	x^8 + x^7 + 132
307,	9,	x^9 + x^8 + 62
307,	10,	x^10 + x^9 + 56
307,	11,	x^11 + x^10 + 7
307,	12,	x^12 + x^11 + 151
307,	13,	x^13 + x^12 + 25
307,	14,	x^14 + x^13 + 300
307,	15,	x^15 + x^14 + 121
307,	16,	x^16 + x^15 + 130
307,	17,	x^17 + x^16 + 209
307,	18,	x^18 + x^17 + 82
307,	19,	x^19 + x^18 + 69
307,	20,	x^20 + x^19 + 52
307,	21,	x^21 + x^20 + 122
307,	22,	x^22 + x^21 + 132
307,	23,	x^23 + x^22 + 26
307,	24,	x^24 + x^23 + 111
307,	25,	x^25 + x^24 + 49
307,	26,	x^26 + x^25 + 74
307,	27,	x^27 + x^26 + 71
307,	28,	x^28 + 5*x^27 + 106
311,	2,	x^2 + x + 17
311,	3,	x^3 + x^2 + 3
311,	4,	x^4 + x^3 + 37
311,	5,	x^5 + x^4 + 5
311,	6,	x^6 + x^5 + 22
311,	7,	x^7 + x^6 + 75
311,	8,	x^8 + x^7 + 17
311,	9,	x^9 + x^8 + 3
311,	10,	x^10 + x^9 + 97
311,	11,	x^11 + x^10 + 25
311,	12,	x^12 + x^11 + 23
311,	13,	x^13 + x^12 + 65
311,	14,	x^14 + x^13 + 302
311,	15,	x^15 + x^14 + 90
311,	16,	x^16 + x^15 + 92
311,	17,	x^17 + x^16 + 64
311,	18,	x^18 + x^17 + 33
311,	19,	x^19 + x^18 + 45
311,	20,	x^20 + x^19 + 123
311,	21,	x^21 + x^20 + 10
311,	22,	x^22 + x^21 + 194
311,	23,	x^23 + x^22 + 4
311,	24,	x^24 + x^23 + 221
311,	25,	x^25 + x^24 + 72
311,	26,	x^26 + x^25 + 93
311,	27,	x^27 + x^26 + 27
311,	28,	x^28 + x^27 + 194
313,	2,	x^2 + x + 14
313,	3,	x^3 + x^2 + 14
313,	4,	x^4 + x^3 + 37
313,	5,	x^5 + x^4 + 14
313,	6,	x^6 + x^5 + 21
313,	7,	x^7 + x^6 + 15
313,	8,	x^8 + x^7 + 10
313,	9,	x^9 + x^8 + 59
313,	10,	x^10 + x^9 + 41
313,	11,	x^11 + x^10 + 17
313,	12,	x^12 + x^11 + 92
313,	13,	x^13 + x^12 + 69
313,	14,	x^14 + x^13 + 55
313,	15,	x^15 + x^14 + 69
313,	16,	x^16 + x^15 + 62
313,	17,	x^17 + x^16 + 130
313,	18,	x^18 + x^17 + 90
313,	19,	x^19 + x^18 + 17
313,	20,	x^20 + 2*x^19 + 292
313,	21,	x^21 + x^20 + 149
313,	22,	x^22 + x^21 + 62
313,	23,	x^23 + x^22 + 282
313,	24,	x^24 + x^23 + 14
313,	25,	x^25 + x^24 + 34
313,	26,	x^26 + 2*x^25 + 20
313,	27,	x^27 + x^26 + 10
313,	28,	x^28 + x^27 + 268
317,	2,	x^2 + x + 5
317,	3,	x^3 + x^2 + 8
317,	4,	x^4 + x^3 + 18
317,	5,	x^5 + x^4 + 2
317,	6,	x^6 + x^5 + 47
317,	7,	x^7 + x^6 + 3
317,	8,	x^8 + x^7 + 147
317,	9,	x^9 + x^8 + 5
317,	10,	x^10 + x^9 + 50
317,	11,	x^11 + x^10 + 2
317,	12,	x^12 + x^11 + 33
317,	13,	x^13 + x^12 + 69
317,	14,	x^14 + x^13 + 32
317,	15,	x^15 + x^14 + 52
317,	16,	x^16 + x^15 + 5
317,	17,	x^17 + x^16 + 35
317,	18,	x^18 + x^17 + 88
317,	19,	x^19 + x^18 + 62
317,	20,	x^20 + x^19 + 8
317,	21,	x^21 + x^20 + 48
317,	22,	x^22 + x^21 + 30
317,	23,	x^23 + x^22 + 18
317,	24,	x^24 + x^23 + 56
317,	25,	x^25 + x^24 + 35
317,	26,	x^26 + x^25 + 75
317,	27,	x^27 + x^26 + 180
331,	2,	x^2 + x + 11
331,	3,	x^3 + x^2 + 6
331,	4,	x^4 + x^3 + 35
331,	5,	x^5 + x^4 + 5
331,	6,	x^6 + x^5 + 93
331,	7,	x^7 + x^6 + 21
331,	8,	x^8 + x^7 + 11
331,	9,	x^9 + x^8 + 91
331,	10,	x^10 + x^9 + 99
331,	11,	x^11 + x^10 + 21
331,	12,	x^12 + x^11 + 59
331,	13,	x^13 + x^12 + 14
331,	14,	x^14 + x^13 + 37
331,	15,	x^15 + x^14 + 113
331,	16,	x^16 + x^15 + 134
331,	17,	x^17 + x^16 + 104
331,	18,	x^18 + x^17 + 59
331,	19,	x^19 + x^18 + 5
331,	20,	x^20 + x^19 + 250
331,	21,	x^21 + x^20 + 19
331,	22,	x^22 + x^21 + 137
331,	23,	x^23 + x^22 + 24
331,	24,	x^24 + x^23 + 244
331,	25,	x^25 + x^24 + 156
331,	26,	x^26 + x^25 + 60
331,	27,	x^27 + x^26 + 141
337,	2,	x^2 + x + 15
337,	3,	x^3 + x^2 + 20
337,	4,	x^4 + x^3 + 19
337,	5,	x^5 + x^4 + 44
337,	6,	x^6 + x^5 + 15
337,	7,	x^7 + x^6 + 29
337,	8,	x^8 + x^7 + 15
337,	9,	x^9 + x^8 + 93
337,	10,	x^10 + x^9 + 31
337,	11,	x^11 + x^10 + 10
337,	12,	x^12 + x^11 + 68
337,	13,	x^13 + x^12 + 80
337,	14,	x^14 + x^13 + 10
337,	15,	x^15 + x^14 + 33
337,	16,	x^16 + x^15 + 80
337,	17,	x^17 + x^16 + 20
337,	18,	x^18 + x^17 + 70
337,	19,	x^19 + x^18 + 45
337,	20,	x^20 + x^19 + 29
337,	21,	x^21 + x^20 + 51
337,	22,	x^22 + x^21 + 87
337,	23,	x^23 + x^22 + 60
337,	24,	x^24 + x^23 + 61
337,	25,	x^25 + x^24 + 20
337,	26,	x^26 + x^25 + 248
337,	27,	x^27 + x^26 + 23
347,	2,	x^2 + x + 7
347,	3,	x^3 + x^2 + 11
347,	4,	x^4 + x^3 + 15
347,	5,	x^5 + x^4 + 13
347,	6,	x^6 + x^5 + 17
347,	7,	x^7 + x^6 + 9
347,	8,	x^8 + x^7 + 5
347,	9,	x^9 + x^8 + 73
347,	10,	x^10 + x^9 + 5
347,	11,	x^11 + x^10 + 29
347,	12,	x^12 + x^11 + 60
347,	13,	x^13 + x^12 + 43
347,	14,	x^14 + x^13 + 21
347,	15,	x^15 + x^14 + 9
347,	16,	x^16 + x^15 + 6
347,	17,	x^17 + x^16 + 42
347,	18,	x^18 + x^17 + 23
347,	19,	x^19 + x^18 + 3
347,	20,	x^20 + x^19 + 265
347,	21,	x^21 + x^20 + 25
