p,	poly
1303,	x^14 + x^13 + 48
1307,	x^14 + x^13 + 74
1319,	x^14 + x^13 + 13
1321,	x^14 + x^13 + 38
1327,	x^14 + x^13 + 12
1361,	x^14 + x^13 + 7
1367,	x^14 + x^13 + 20
1373,	x^14 + x^13 + 88
1381,	x^14 + x^13 + 59
1399,	x^14 + x^13 + 188
1409,	x^14 + x^13 + 89
1423,	x^14 + x^13 + 59
1427,	x^14 + x^13 + 8
1429,	x^14 + x^13 + 6
1433,	x^14 + x^13 + 39
1439,	x^14 + x^13 + 53
1447,	x^14 + x^13 + 41
1451,	x^14 + x^13 + 65
1453,	x^14 + x^13 + 29
1459,	x^14 + x^13 + 60
1471,	x^14 + x^13 + 179
1481,	x^14 + x^13 + 22
1483,	x^14 + x^13 + 2
1487,	x^14 + x^13 + 79
1489,	x^14 + x^13 + 223
1493,	x^14 + x^13 + 98
1499,	x^14 + x^13 + 2
1511,	x^14 + x^13 + 41
1523,	x^14 + x^13 + 38
1531,	x^14 + x^13 + 14
1543,	x^14 + x^13 + 70
1549,	x^14 + x^13 + 6
1553,	x^14 + x^13 + 28
1559,	x^14 + x^13 + 94
1567,	x^14 + x^13 + 71
1571,	x^14 + x^13 + 51
1579,	x^14 + x^13 + 46
1583,	x^14 + x^13 + 124
1597,	x^14 + x^13 + 38
1601,	x^14 + x^13 + 26
1607,	x^14 + x^13 + 11
1609,	x^14 + x^13 + 76
1613,	x^14 + x^13 + 176
1619,	x^14 + x^13 + 10
1621,	x^14 + x^13 + 6
1627,	x^14 + x^13 + 73
1637,	x^14 + x^13 + 76
1657,	x^14 + x^13 + 73
1663,	x^14 + x^13 + 103
1667,	x^14 + x^13 + 50
1669,	x^14 + x^13 + 33
1693,	x^14 + x^13 + 79
1697,	x^14 + x^13 + 43
1699,	x^14 + x^13 + 12
1709,	x^14 + x^13 + 12
1721,	x^14 + x^13 + 24
1723,	x^14 + x^13 + 3
1733,	x^14 + x^13 + 48
1741,	x^14 + x^13 + 187
1747,	x^14 + x^13 + 13
1753,	x^14 + x^13 + 45
1759,	x^14 + x^13 + 83
1777,	x^14 + x^13 + 141
1783,	x^14 + x^13 + 11
1787,	x^14 + x^13 + 54
1789,	x^14 + x^13 + 24
1801,	x^14 + x^13 + 127
1811,	x^14 + x^13 + 109
1823,	x^14 + x^13 + 35
1831,	x^14 + x^13 + 75
1847,	x^14 + x^13 + 60
1861,	x^14 + x^13 + 102
1867,	x^14 + x^13 + 30
1871,	x^14 + x^13 + 14
1873,	x^14 + x^13 + 69
1877,	x^14 + x^13 + 2
1879,	x^14 + x^13 + 31
1889,	x^14 + x^13 + 99
1901,	x^14 + x^13 + 189
1907,	x^14 + x^13 + 8
1913,	x^14 + x^13 + 27
1931,	x^14 + x^13 + 54
1933,	x^14 + x^13 + 15
1949,	x^14 + x^13 + 27
1951,	x^14 + x^13 + 41
1973,	x^14 + x^13 + 27
1979,	x^14 + x^13 + 50
1987,	x^14 + x^13 + 5
1993,	x^14 + x^13 + 60
1997,	x^14 + x^13 + 50
1999,	x^14 + x^13 + 136
2003,	x^14 + x^13 + 51
2011,	x^14 + x^13 + 129
2017,	x^14 + x^13 + 47
2027,	x^14 + x^13 + 43
