p,	poly
2719,	x^30 + x^29 + 65
2729,	x^30 + x^29 + 70
2731,	x^30 + x^29 + 113
2741,	x^30 + x^29 + 258
2749,	x^30 + x^29 + 949
2753,	x^30 + x^29 + 93
2767,	x^30 + x^29 + 179
2777,	x^30 + x^29 + 80
2789,	x^30 + x^29 + 637
2791,	x^30 + x^29 + 340
2797,	x^30 + x^29 + 14
2801,	x^30 + x^29 + 302
2803,	x^30 + x^29 + 290
2819,	x^30 + x^29 + 43
2833,	x^30 + x^29 + 114
2837,	x^30 + x^29 + 95
2843,	x^30 + x^29 + 80
2851,	x^30 + x^29 + 422
2857,	x^30 + x^29 + 262
2861,	x^30 + x^29 + 296
2879,	x^30 + x^29 + 136
2887,	x^30 + x^29 + 22
2897,	x^30 + x^29 + 95
2903,	x^30 + x^29 + 393
2909,	x^30 + x^29 + 327
2917,	x^30 + x^29 + 245
2927,	x^30 + x^29 + 56
2939,	x^30 + x^29 + 87
2953,	x^30 + x^29 + 154
2957,	x^30 + x^29 + 278
2963,	x^30 + x^29 + 237
2969,	x^30 + x^29 + 101
2971,	x^30 + x^29 + 11
2999,	x^30 + x^29 + 19
3001,	x^30 + x^29 + 313
3011,	x^30 + x^29 + 82
3019,	x^30 + x^29 + 32
3023,	x^30 + x^29 + 33
3037,	x^30 + x^29 + 95
3041,	x^30 + x^29 + 451
3049,	x^30 + x^29 + 770
3061,	x^30 + x^29 + 138
3067,	x^30 + x^29 + 18
3079,	x^30 + x^29 + 95
3083,	x^30 + x^29 + 139
3089,	x^30 + x^29 + 536
3109,	x^30 + x^29 + 19
3119,	x^30 + x^29 + 339
3121,	x^30 + x^29 + 413
3137,	x^30 + x^29 + 11
3163,	x^30 + x^29 + 65
3167,	x^30 + x^29 + 862
3169,	x^30 + x^29 + 63
3181,	x^30 + x^29 + 106
3187,	x^30 + x^29 + 97
3191,	x^30 + x^29 + 94
3203,	x^30 + x^29 + 129
3209,	x^30 + x^29 + 332
3217,	x^30 + x^29 + 302
3221,	x^30 + x^29 + 206
3229,	x^30 + x^29 + 91
3251,	x^30 + x^29 + 198
3253,	x^30 + x^29 + 405
3257,	x^30 + x^29 + 17
3259,	x^30 + x^29 + 143
3271,	x^30 + x^29 + 252
3299,	x^30 + x^29 + 369
3301,	x^30 + x^29 + 279
3307,	x^30 + x^29 + 192
3313,	x^30 + x^29 + 158
3319,	x^30 + x^29 + 596
3323,	x^30 + x^29 + 190
3329,	x^30 + x^29 + 127
3331,	x^30 + x^29 + 230
3343,	x^30 + x^29 + 71
3347,	x^30 + x^29 + 466
3359,	x^30 + x^29 + 297
3361,	x^30 + x^29 + 31
3371,	x^30 + x^29 + 417
