p,	poly,	modulus
241,	x^28 + x^27 + 201*a,	a^2 + 238*a + 7
251,	x^28 + x^27 + 61*a,	a^2 + 242*a + 6
257,	x^28 + x^27 + 120*a,	a^2 + 251*a + 3
263,	x^28 + x^27 + 38*a,	a^2 + 261*a + 5
269,	x^28 + x^27 + 12*a,	a^2 + 268*a + 2
271,	x^28 + x^27 + 90*a,	a^2 + 269*a + 6
277,	x^28 + x^27 + 6*a,	a^2 + 274*a + 5
281,	x^28 + x^27 + 6*a,	a^2 + 280*a + 3
283,	x^28 + x^27 + 5*a,	a^2 + 282*a + 3
293,	x^28 + x^27 + 52*a,	a^2 + 292*a + 2
307,	x^28 + x^27 + 72*a,	a^2 + 306*a + 5
311,	x^28 + x^27 + 20*a,	a^2 + 310*a + 17
313,	x^28 + x^27 + 73*a,	a^2 + 310*a + 10
317,	x^28 + x^27 + 18*a,	a^2 + 313*a + 2
331,	x^28 + x^27 + 206*a,	a^2 + 326*a + 3
337,	x^28 + x^27 + 15*a,	a^2 + 332*a + 10
347,	x^28 + x^27 + 5*a,	a^2 + 343*a + 2
349,	x^28 + x^27 + 8*a,	a^2 + 348*a + 2
353,	x^28 + x^27 + a,	a^2 + 348*a + 3
359,	x^28 + x^27 + 6*a,	a^2 + 358*a + 7
367,	x^28 + x^27 + 45*a,	a^2 + 366*a + 6
373,	x^28 + x^27 + 18*a,	a^2 + 369*a + 2
379,	x^28 + x^27 + 42*a,	a^2 + 374*a + 2
383,	x^28 + x^27 + 38*a,	a^2 + 382*a + 5
389,	x^28 + x^27 + 10*a,	a^2 + 379*a + 2
397,	x^28 + x^27 + 108*a,	a^2 + 392*a + 5
401,	x^28 + x^27 + 15*a,	a^2 + 396*a + 3
409,	x^28 + x^27 + 69*a,	a^2 + 404*a + 21
419,	x^28 + x^27 + 99*a,	a^2 + 418*a + 2
421,	x^28 + x^27 + 227*a,	a^2 + 417*a + 2
431,	x^28 + x^27 + 149*a,	a^2 + 430*a + 7
433,	x^28 + x^27 + 46*a,	a^2 + 432*a + 5
439,	x^28 + x^27 + 224*a,	a^2 + 436*a + 15
443,	x^28 + x^27 + 41*a,	a^2 + 437*a + 2
449,	x^28 + x^27 + a,	a^2 + 444*a + 3
457,	x^28 + x^27 + 78*a,	a^2 + 454*a + 13
461,	x^28 + x^27 + a,	a^2 + 460*a + 2
463,	x^28 + x^27 + 29*a,	a^2 + 461*a + 3
467,	x^28 + x^27 + 29*a,	a^2 + 463*a + 2
479,	x^28 + x^27 + 24*a,	a^2 + 474*a + 13
487,	x^28 + x^27 + 165*a,	a^2 + 485*a + 3
491,	x^28 + x^27 + 32*a,	a^2 + 487*a + 2
499,	x^28 + x^27 + 48*a,	a^2 + 493*a + 7
503,	x^28 + x^27 + 61*a,	a^2 + 498*a + 5
509,	x^28 + x^27 + 19*a,	a^2 + 508*a + 2
521,	x^28 + x^27 + 42*a,	a^2 + 515*a + 3
523,	x^28 + x^27 + 19*a,	a^2 + 522*a + 2
541,	x^28 + x^27 + 202*a,	a^2 + 537*a + 2
547,	x^28 + x^27 + 242*a,	a^2 + 543*a + 2
557,	x^28 + x^27 + 4*a,	a^2 + 553*a + 2
563,	x^28 + x^27 + 231*a,	a^2 + 559*a + 2
569,	x^28 + x^27 + 7*a,	a^2 + 568*a + 3
571,	x^28 + x^27 + 41*a,	a^2 + 570*a + 3
577,	x^28 + x^27 + 88*a,	a^2 + 572*a + 5
587,	x^28 + x^27 + 30*a,	a^2 + 583*a + 2
593,	x^28 + x^27 + 46*a,	a^2 + 592*a + 3
599,	x^28 + x^27 + 51*a,	a^2 + 598*a + 7
601,	x^28 + x^27 + 120*a,	a^2 + 598*a + 7
607,	x^28 + x^27 + 94*a,	a^2 + 606*a + 3
613,	x^28 + x^27 + 14*a,	a^2 + 609*a + 2
617,	x^28 + x^27 + 9*a,	a^2 + 612*a + 3
619,	x^28 + x^27 + 3*a,	a^2 + 618*a + 2
631,	x^28 + x^27 + 178*a,	a^2 + 629*a + 3
641,	x^28 + x^27 + 28*a,	a^2 + 635*a + 3
643,	x^28 + x^27 + 16*a,	a^2 + 641*a + 11
647,	x^28 + x^27 + 30*a,	a^2 + 645*a + 5
653,	x^28 + x^27 + 5*a,	a^2 + 649*a + 2
659,	x^28 + x^27 + 59*a,	a^2 + 655*a + 2
661,	x^28 + x^27 + 64*a,	a^2 + 660*a + 2
673,	x^28 + x^27 + 37*a,	a^2 + 672*a + 5
677,	x^28 + x^27 + 41*a,	a^2 + 672*a + 2
683,	x^28 + x^27 + 81*a,	a^2 + 682*a + 5
691,	x^28 + x^27 + 22*a,	a^2 + 686*a + 3
701,	x^28 + x^27 + 25*a,	a^2 + 697*a + 2
709,	x^28 + x^27 + 101*a,	a^2 + 705*a + 2
719,	x^28 + x^27 + 7*a,	a^2 + 715*a + 11
727,	x^28 + x^27 + 4*a,	a^2 + 725*a + 5
733,	x^28 + x^27 + 65*a,	a^2 + 732*a + 6
739,	x^28 + x^27 + 18*a,	a^2 + 734*a + 3
743,	x^28 + x^27 + 17*a,	a^2 + 742*a + 5
751,	x^28 + x^27 + 48*a,	a^2 + 749*a + 3
757,	x^28 + x^27 + 131*a,	a^2 + 753*a + 2
761,	x^28 + x^27 + 53*a,	a^2 + 758*a + 6
769,	x^28 + x^27 + 80*a,	a^2 + 765*a + 11
773,	x^28 + x^27 + 197*a,	a^2 + 772*a + 2
